uid,step,rank,position,entropy,prob,text,token
val::math500::29::b21de5e7f45f522c::sample2,0,1,32,9.189783096313477,0.0006786626763641834, �,Ġå±
val::math500::29::b21de5e7f45f522c::sample2,0,2,8,9.006696701049805,1.3301339095050935e-05,轺,è½º
val::math500::29::b21de5e7f45f522c::sample2,0,3,6,8.841073989868164,1.3278322512633167e-05,�,éĩ
val::math500::29::b21de5e7f45f522c::sample2,0,4,48,8.820995330810547,3.879587893607095e-06,骖,éªĸ
val::math500::29::b21de5e7f45f522c::sample2,0,5,49,8.809556007385254,0.00183655577711761, :,Ġ:
val::math500::29::b21de5e7f45f522c::sample2,0,6,45,8.784721374511719,8.461104698653799e-06, השא,Ġ×Ķ×©×Ĳ
val::math500::29::b21de5e7f45f522c::sample2,0,7,40,8.771430015563965,5.162382876733318e-06,倭,åĢŃ
val::math500::29::b21de5e7f45f522c::sample2,0,8,51,8.7244234085083,2.2846475076221395e-06, hứng,Ġhá»©ng
val::math500::29::b21de5e7f45f522c::sample2,0,9,41,8.704793930053711,8.581305883126333e-05,朝,æľĿ
val::math500::29::b21de5e7f45f522c::sample2,0,10,31,8.65727424621582,4.76833065476967e-06,玟,çİŁ
val::math500::29::b21de5e7f45f522c::sample2,60,1,153,1.4249296188354492,0.4000624120235443,Let,Let
val::math500::29::b21de5e7f45f522c::sample2,60,2,162,1.3348158597946167,0.5517994165420532,".
",.Ċ
val::math500::29::b21de5e7f45f522c::sample2,60,3,156,1.3330466747283936,0.07782084494829178, it,Ġit
val::math500::29::b21de5e7f45f522c::sample2,60,4,39,1.3051505088806152,0.5603296160697937, done,Ġdone
val::math500::29::b21de5e7f45f522c::sample2,60,5,42,1.2898106575012207,0.46159717440605164,.,.
val::math500::29::b21de5e7f45f522c::sample2,60,6,49,1.1694484949111938,0.2596084773540497, ,Ġ
val::math500::29::b21de5e7f45f522c::sample2,60,7,0,1.0962538719177246,0.6894784569740295,To,To
val::math500::29::b21de5e7f45f522c::sample2,60,8,8,0.9986907839775085,0.5221496820449829, determine,Ġdetermine
val::math500::29::b21de5e7f45f522c::sample2,60,9,51,0.8990373611450195,0.1386578381061554, soldiers,Ġsoldiers
val::math500::29::b21de5e7f45f522c::sample2,60,10,112,0.8843709230422974,0.6201200485229492, that,Ġthat
val::math500::29::b21de5e7f45f522c::sample2,120,1,105,1.5260343551635742,0.06885375082492828,First,First
val::math500::29::b21de5e7f45f522c::sample2,120,2,323,1.4409136772155762,0.06227744370698929,Now,Now
val::math500::29::b21de5e7f45f522c::sample2,120,3,327,1.3901212215423584,0.15606969594955444, verify,Ġverify
val::math500::29::b21de5e7f45f522c::sample2,120,4,60,1.354193091392517,0.19290804862976074,",",","
val::math500::29::b21de5e7f45f522c::sample2,120,5,123,1.2229148149490356,0.5595572590827942,":
",:Ċ
val::math500::29::b21de5e7f45f522c::sample2,120,6,329,1.1622085571289062,0.4404503107070923, with,Ġwith
val::math500::29::b21de5e7f45f522c::sample2,120,7,0,1.1177555322647095,0.6675630807876587,To,To
val::math500::29::b21de5e7f45f522c::sample2,120,8,25,1.0780646800994873,0.7260936498641968, calculate,Ġcalculate
val::math500::29::b21de5e7f45f522c::sample2,120,9,355,1.0350275039672852,0.637795627117157,"
",Ċ
val::math500::29::b21de5e7f45f522c::sample2,120,10,358,0.9535858035087585,0.4447280764579773,_w,_w
val::math500::29::b21de5e7f45f522c::sample2,180,1,67,2.098524570465088,0.30162298679351807,The,The
val::math500::29::b21de5e7f45f522c::sample2,180,2,42,2.058746576309204,0.25708410143852234, formula,Ġformula
val::math500::29::b21de5e7f45f522c::sample2,180,3,7,1.906461477279663,0.07986541092395782, selecting,Ġselecting
val::math500::29::b21de5e7f45f522c::sample2,180,4,43,1.8075393438339233,0.36878693103790283,":

",:ĊĊ
val::math500::29::b21de5e7f45f522c::sample2,180,5,31,1.6213752031326294,0.18693223595619202, combinations,Ġcombinations
val::math500::29::b21de5e7f45f522c::sample2,180,6,2,1.578392505645752,0.37380608916282654, can,Ġcan
val::math500::29::b21de5e7f45f522c::sample2,180,7,32,1.4932873249053955,0.5729689002037048,",",","
val::math500::29::b21de5e7f45f522c::sample2,180,8,267,1.4333816766738892,0.14138813316822052,So,So
val::math500::29::b21de5e7f45f522c::sample2,180,9,33,1.4189509153366089,0.4957548975944519, which,Ġwhich
val::math500::29::b21de5e7f45f522c::sample2,180,10,37,1.3527404069900513,0.2992577850818634, using,Ġusing
val::math500::18::c7d731882930870c::sample0,0,1,433,9.005269050598145,1.3366272924031364e-06,分钟后,åĪĨéĴŁåĲİ
val::math500::18::c7d731882930870c::sample0,0,2,438,8.807788848876953,0.00028919405303895473,还,è¿ĺ
val::math500::18::c7d731882930870c::sample0,0,3,807,8.658145904541016,0.00011123126751044765,ste,ste
val::math500::18::c7d731882930870c::sample0,0,4,855,8.642563819885254,5.772545250692929e-07,_gap,_gap
val::math500::18::c7d731882930870c::sample0,0,5,840,8.620401382446289,0.0010832656407728791, maxim,Ġmaxim
val::math500::18::c7d731882930870c::sample0,0,6,839,8.608100891113281,0.00564960390329361, over,Ġover
val::math500::18::c7d731882930870c::sample0,0,7,842,8.555926322937012,0.0010773340472951531, high,Ġhigh
val::math500::18::c7d731882930870c::sample0,0,8,853,8.548977851867676,0.0008732487913221121,verb,verb
val::math500::18::c7d731882930870c::sample0,0,9,441,8.545114517211914,3.974674200435402e-06,(system,(system
val::math500::18::c7d731882930870c::sample0,0,10,437,8.54202651977539,0.0004640846455004066,且,ä¸Ķ
