step,BaseCN8,BaseCN1,BaseWeak,BaseShuffle
0,812.46875,762.75,812.46875,812.46875
6,698.65625,742.765625,864.71875,844.453125
12,743.46875,733.109375,845.1875,786.578125
18,644.78125,826.109375,727.34375,747.3125
24,738.265625,714.0625,754.25,686.40625
30,588.578125,724.328125,775.96875,681.109375
36,675.40625,808.5625,639.359375,592.3125
42,651.75,691.078125,665.15625,569.609375
48,676.703125,600.9375,535.515625,639.734375
54,603.390625,670.328125,545.546875,524.203125
60,702.109375,614.875,589.84375,572.609375
66,654.734375,655.5625,599.125,604.71875
72,634.8125,574.484375,650.6875,605.3125
78,622.921875,627.75,641.203125,591.296875
84,590.765625,639.296875,602.28125,684.828125
90,676.890625,619.078125,599.828125,658.359375
96,566.65625,672.125,766.9375,707.015625
102,603.21875,589.25,623.0625,634.8125
108,650.21875,634.25,604.3125,703.625
114,612.390625,544.953125,651.4375,620.59375
120,620.359375,569.609375,569.21875,615.453125
126,536.859375,571.9375,611.921875,580.5
132,621.546875,672.75,549.640625,615.0
138,590.46875,571.078125,575.203125,530.203125
144,629.640625,619.734375,579.53125,544.484375
150,572.328125,580.921875,600.828125,738.25
156,605.453125,571.453125,559.84375,613.015625
162,562.5,609.71875,606.078125,552.421875
168,590.796875,602.90625,632.703125,579.984375
174,588.078125,529.875,561.6875,600.9375
180,603.078125,580.4375,578.609375,531.34375
