step,BaseCN8,BaseCN1,BaseWeak,BaseShuffle
0,0.3745,0.363,0.3745,0.3745
6,0.382,0.371,0.38075,0.38925
12,0.43,0.383,0.41625,0.4325
18,0.46575,0.39275,0.44025,0.455
24,0.4995,0.40975,0.4995,0.50275
30,0.52,0.42075,0.51825,0.5155
36,0.52425,0.4385,0.53225,0.5275
42,0.53175,0.467,0.5355,0.52775
48,0.5385,0.4725,0.5415,0.53175
54,0.53825,0.485,0.55575,0.53975
60,0.54425,0.5035,0.54675,0.54675
66,0.54475,0.50875,0.55275,0.54875
72,0.55325,0.512,0.5525,0.55375
78,0.54975,0.52225,0.56,0.55525
84,0.539,0.52725,0.562,0.54925
90,0.55425,0.52375,0.557,0.544
96,0.568,0.53075,0.55775,0.5475
102,0.56,0.5285,0.57475,0.55175
108,0.5635,0.53025,0.5695,0.56125
114,0.56175,0.538,0.56375,0.5725
120,0.55625,0.5445,0.56575,0.55925
126,0.5535,0.5495,0.569,0.5625
132,0.56175,0.54425,0.57475,0.562
138,0.5495,0.543,0.5695,0.56325
144,0.57225,0.54575,0.569,0.5615
150,0.55925,0.5495,0.56775,0.56075
156,0.57525,0.54275,0.569,0.55925
162,0.5715,0.54875,0.56725,0.5755
168,0.57475,0.54775,0.57,0.563
174,0.575,0.559,0.5765,0.56325
180,0.57325,0.547,0.57475,0.5745
