step,InstrShuffle,InstrCN8
0,0.68375,0.68375
6,0.685,0.68075
12,0.6875,0.6805
18,0.68625,0.688
24,0.67575,0.68225
30,0.6905,0.6875
36,0.69275,0.6895
42,0.68,0.68175
48,0.6795,0.68775
54,0.6875,0.6915
60,0.69125,0.688
66,0.6905,0.68775
72,0.688,0.68575
78,0.69,0.688
84,0.687,0.685
90,0.69025,0.69375
96,0.687,0.6935
102,0.6885,0.68325
108,0.68475,0.68925
114,0.69425,0.6845
120,0.686,0.6955
126,0.685,0.68825
132,0.689,0.68675
138,0.69225,0.68225
144,0.69125,0.69375
150,0.6865,0.692
156,0.68825,0.68925
162,0.68575,0.6995
168,0.68625,0.68825
174,0.69625,0.687
180,0.69325,0.68725
