slug,paper_label,plot_key,family,variant,step,sample_count,traced_count,traced_ratio,score,response_length,answer_tail_confidence,low_confidence_token_ratio,token_entropy_mean,eos_prob_final,top1_prob_mean
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,0,4000,8,0.002,0.3745,812.46875,0.8128798566467594,0.11598829957074486,0.6752286916598678,0.7339566613322962,0.851113623008132
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,6,4000,8,0.002,0.382,698.65625,0.7668884662416531,0.14109647474833764,0.8066158210858703,0.739394992741186,0.8311329013668001
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,12,4000,8,0.002,0.43,743.46875,0.8319349479861557,0.08824557658226695,0.47673674626275897,0.7481836999542286,0.8756108954548836
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,18,4000,8,0.002,0.46575,644.78125,0.8786464720033109,0.05495313946448732,0.2944646544056013,0.8957414054737266,0.9078120840713382
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,24,4000,8,0.002,0.4995,738.265625,0.9130938267335296,0.03978084806294646,0.22201628529001027,0.8722198426553994,0.9238011660054326
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,30,4000,8,0.002,0.52,588.578125,0.9049662165343761,0.04640979180112481,0.242325208382681,0.9371344637752536,0.9203668916597962
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,36,4000,8,0.002,0.52425,675.40625,0.9109819959849119,0.03663162210432347,0.2025389806367457,0.8912587641495547,0.9314999431371689
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,42,4000,8,0.002,0.53175,651.75,0.9189537642523646,0.03459399600978941,0.18497027596458793,0.9327224666854994,0.9351303735747933
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,48,4000,8,0.002,0.5385,676.703125,0.9389390237629414,0.035285582300275564,0.18893298192415386,0.9129521880671254,0.9338262099772692
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,54,4000,8,0.002,0.53825,603.390625,0.9195425426587462,0.03713964567577932,0.20229043427389115,0.9335726830807504,0.9288392327725887
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,60,4000,8,0.002,0.54425,702.109375,0.9200028581544757,0.037801241502165794,0.20124031440354884,0.9015409720891815,0.9317056275904179
base_c_n8_baseline,Base baseline (n=8),BaseCN8,Base,Baseline,66,4000,8,0.002,0.54475,654.734375,0.922366838902235,0.03767411582521163,0.200541608966887,0.9170840631255058,0.9321201676502824
