formal_label,run_name,run_id,step,training_global_step,actor_entropy
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,0,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,1,1.0,0.3455305397510528
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,2,2.0,0.4399823844432831
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,3,3.0,0.4436939656734466
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,4,4.0,0.3661771416664123
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,5,5.0,0.3692652583122253
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,6,6.0,0.3358620405197143
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,7,7.0,0.3030526041984558
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,8,8.0,0.285564124584198
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,9,9.0,0.36914724111557
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,10,10.0,0.3109761476516723
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,11,11.0,0.3361073732376098
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,12,12.0,0.3082064986228943
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,13,13.0,0.2862798571586609
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,14,14.0,0.2785075604915619
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,15,15.0,0.2337559014558792
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,16,16.0,0.2427216917276382
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,17,17.0,0.2473438084125518
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,18,18.0,0.2039351612329483
