formal_label,run_name,run_id,step,training_global_step,actor_entropy,actor_kl_loss,actor_ppo_kl,actor_pg_loss,train_response_length_mean,val_reward_mean,val_reward_pass1,val_reward_pass8,val_reward_best8_mean,val_aux_response_length_mean,val_token_entropy_mean,val_low_confidence_ratio,val_token_response_length_mean,val_top1_prob_mean,val_eos_prob_mean,val_topk_mass_mean,val_analyzed_samples,val_analyzed_sample_fraction
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,0,,,,,,,0.3745,0.3745,0.762,0.7084539999999999,812.46875,0.6603227107908832,0.1153890534251317,812.46875,0.8542631885776969,0.0011881919188604,0.9445495413259304,64.0,0.016
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,1,1.0,0.3455305397510528,1.426223513734115e-06,-1.292713515654853e-05,0.0001388636874253,681.46875,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,2,2.0,0.4399823844432831,1.5766483151269384e-06,-1.0104560449281095e-05,2.38134384744626e-06,702.9765625,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,3,3.0,0.4436939656734466,1.8551200839933555e-06,3.1082367305756975e-05,0.0001044788231183,708.880859375,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,4,4.0,0.3661771416664123,2.392590343625045e-06,-6.021233142483595e-05,-5.747109197784539e-05,723.236328125,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,5,5.0,0.3692652583122253,3.479417981067101e-06,-2.7411273457289557e-05,2.0139458001722232e-05,711.369140625,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,6,6.0,0.3358620405197143,6.780820255958275e-06,1.766513639545053e-05,5.780149922429701e-05,698.361328125,0.382,0.382,0.734,0.690246,698.65625,0.9904880608141772,0.155029744599007,698.65625,0.8173885188056013,0.001321683612063,0.9112146362804282,64.0,0.016
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,7,7.0,0.3030526041984558,8.759011277614803e-06,5.951721259078724e-05,6.754591640856233e-05,703.12890625,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,8,8.0,0.285564124584198,1.199302083154663e-05,0.0001339143189671,3.7607366721204016e-05,681.662109375,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,9,9.0,0.36914724111557,1.3928126861184609e-05,-1.8964214270056345e-05,-2.283514041168111e-05,722.205078125,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,10,10.0,0.3109761476516723,1.9938782330974902e-05,8.213766322384686e-05,0.0001780812189622,723.978515625,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,11,11.0,0.3361073732376098,2.74162818065804e-05,5.0382076269173126e-05,0.0001222397748641,699.78515625,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,12,12.0,0.3082064986228943,3.253601073005541e-05,-3.626783827059832e-05,0.0002601375917095,724.904296875,0.43,0.43,0.76,0.717268,743.46875,0.6238737164046373,0.1089697784876634,743.46875,0.857784135831389,0.0011431021834961,0.9498382512400008,64.0,0.016
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,13,13.0,0.2862798571586609,2.8352583578694635e-05,3.082199372728134e-05,0.0003370367420529,743.14453125,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,14,14.0,0.2785075604915619,3.435777152382968e-05,4.802776069567916e-06,0.0001158790435198,672.8359375,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,15,15.0,0.2337559014558792,3.390635568578659e-05,2.303323893038112e-05,0.0001986948255101,674.1875,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,16,16.0,0.2427216917276382,3.8349192111653e-05,-2.3488648231762e-05,0.0002310554722519,650.8671875,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,17,17.0,0.2473438084125518,4.0822145239260976e-05,-9.00795616964878e-06,0.0001962213101478,683.90234375,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,18,18.0,0.2039351612329483,4.150343355391328e-05,-1.0681030972570229e-05,0.0002255008492682,645.99609375,0.46575,0.46575,0.778,0.738384,644.78125,0.2960320100269863,0.0569233751756894,644.78125,0.9070936330895956,0.0014950427516809,0.9861836420699918,64.0,0.016
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,19,19.0,0.2152645587921142,4.437574266447086e-05,2.3427294063793624e-05,0.0003174949359845,667.650390625,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,20,20.0,0.2076829224824905,4.4245641088735965e-05,-3.269537070060835e-05,0.000375676873193,667.83203125,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,21,21.0,0.2214575111865997,4.999711320863298e-05,3.03032480601928e-05,0.0004862580706515,668.5390625,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,22,22.0,0.1818163692951202,4.9634449077018417e-05,-3.4447255616854022e-06,0.0005436076040155,658.693359375,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,23,23.0,0.185282826423645,5.669450509770968e-05,1.768584115069416e-05,0.0002636631219274,623.05859375,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,24,24.0,0.167300283908844,5.9914503992786194e-05,2.762891988794536e-05,0.0003232448683831,627.818359375,0.4995,0.4995,0.814,0.769834,738.265625,0.2464454726932258,0.0458210755783191,738.265625,0.9186989816676427,0.0011899589635891,0.9904327486231934,64.0,0.016
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,25,25.0,0.1697885990142822,5.8842293384486766e-05,-3.4399669351148354e-05,0.0002504021439335,613.578125,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,26,26.0,0.1524195969104766,5.926507621367705e-05,6.953996563296982e-05,0.0001381753284022,593.306640625,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,27,27.0,0.1516104489564895,6.226827814970193e-05,4.712782083027278e-05,0.0002006865099133,587.697265625,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,28,28.0,0.1480681598186493,6.537629742808804e-05,4.837803333046509e-05,0.0003223659788318,590.375,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,29,29.0,0.1501433849334716,6.746107057864492e-05,-1.4399561791833548e-06,0.0001556657584842,587.806640625,,,,,,,,,,,,,
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,30,30.0,0.2003516107797622,6.963899207335089e-05,3.3559347158984565e-06,0.0003538788823789,600.953125,0.52,0.52,0.822,0.781636,588.578125,0.2563005970086995,0.0501473360057341,588.578125,0.917759100743794,0.0016452185444908,0.9888720189975356,64.0,0.016
Base baseline (n=8),base_align_exp1_20260401_141352,refyqg089cx5qvp3g7zbo,31,31.0,0.1524740904569626,7.306463285772224e-05,-3.451049214630783e-05,0.0003182848151936,587.740234375,,,,,,,,,,,,,
