step,training/global_step,training/global_step_timestamp,actor/entropy,actor/entropy_timestamp,actor/kl_loss,actor/kl_loss_timestamp,actor/ppo_kl,actor/ppo_kl_timestamp,actor/pg_loss,actor/pg_loss_timestamp,response_length/mean,response_length/mean_timestamp,val-core/math500/reward/mean@8,val-core/math500/reward/mean@8_timestamp,val-core/math500/reward/pass@1,val-core/math500/reward/pass@1_timestamp,val-core/math500/reward/pass@8,val-core/math500/reward/pass@8_timestamp,val-core/math500/reward/best@8/mean,val-core/math500/reward/best@8/mean_timestamp,val-aux/math500/response_length/mean@8,val-aux/math500/response_length/mean@8_timestamp,val-token/math500/summary/token_entropy_mean,val-token/math500/summary/token_entropy_mean_timestamp,val-token/math500/summary/low_confidence_token_ratio,val-token/math500/summary/low_confidence_token_ratio_timestamp,val-token/math500/summary/response_length_mean,val-token/math500/summary/response_length_mean_timestamp,val-token/math500/summary/top1_prob_mean,val-token/math500/summary/top1_prob_mean_timestamp,val-token/math500/summary/eos_prob_mean,val-token/math500/summary/eos_prob_mean_timestamp,val-token/math500/summary/topk_mass_mean,val-token/math500/summary/topk_mass_mean_timestamp,val-token/math500/summary/analyzed_samples,val-token/math500/summary/analyzed_samples_timestamp,val-token/math500/summary/analyzed_sample_fraction,val-token/math500/summary/analyzed_sample_fraction_timestamp
0,,,,,,,,,,,,,0.3745,1775024557000.0,0.3745,1775024557000.0,0.762,1775024557000.0,0.7084539999999999,1775024557000.0,812.46875,1775024557000.0,0.6603227107908832,1775024557000.0,0.1153890534251317,1775024557000.0,812.46875,1775024557000.0,0.8542631885776969,1775024557000.0,0.0011881919188604,1775024557000.0,0.9445495413259304,1775024557000.0,64.0,1775024557000.0,0.016,1775024557000.0
1,1.0,1775024763000.0,0.3455305397510528,1775024763000.0,1.426223513734115e-06,1775024763000.0,-1.292713515654853e-05,1775024763000.0,0.0001388636874253,1775024763000.0,681.46875,1775024763000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0,1775024907000.0,0.4399823844432831,1775024907000.0,1.5766483151269384e-06,1775024907000.0,-1.0104560449281095e-05,1775024907000.0,2.38134384744626e-06,1775024907000.0,702.9765625,1775024907000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3.0,1775025051000.0,0.4436939656734466,1775025051000.0,1.8551200839933555e-06,1775025051000.0,3.1082367305756975e-05,1775025051000.0,0.0001044788231183,1775025051000.0,708.880859375,1775025051000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.0,1775025197000.0,0.3661771416664123,1775025197000.0,2.392590343625045e-06,1775025197000.0,-6.021233142483595e-05,1775025197000.0,-5.747109197784539e-05,1775025197000.0,723.236328125,1775025197000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5.0,1775025345000.0,0.3692652583122253,1775025345000.0,3.479417981067101e-06,1775025345000.0,-2.7411273457289557e-05,1775025345000.0,2.0139458001722232e-05,1775025345000.0,711.369140625,1775025345000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.0,1775025877000.0,0.3358620405197143,1775025877000.0,6.780820255958275e-06,1775025877000.0,1.766513639545053e-05,1775025877000.0,5.780149922429701e-05,1775025877000.0,698.361328125,1775025877000.0,0.382,1775025877000.0,0.382,1775025877000.0,0.734,1775025877000.0,0.690246,1775025877000.0,698.65625,1775025877000.0,0.9904880608141772,1775025877000.0,0.155029744599007,1775025877000.0,698.65625,1775025877000.0,0.8173885188056013,1775025877000.0,0.001321683612063,1775025877000.0,0.9112146362804282,1775025877000.0,64.0,1775025877000.0,0.016,1775025877000.0
7,7.0,1775026021000.0,0.3030526041984558,1775026021000.0,8.759011277614803e-06,1775026021000.0,5.951721259078724e-05,1775026021000.0,6.754591640856233e-05,1775026021000.0,703.12890625,1775026021000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.0,1775026162000.0,0.285564124584198,1775026162000.0,1.199302083154663e-05,1775026162000.0,0.0001339143189671,1775026162000.0,3.7607366721204016e-05,1775026162000.0,681.662109375,1775026162000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.0,1775026307000.0,0.36914724111557,1775026307000.0,1.3928126861184609e-05,1775026307000.0,-1.8964214270056345e-05,1775026307000.0,-2.283514041168111e-05,1775026307000.0,722.205078125,1775026307000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10.0,1775026453000.0,0.3109761476516723,1775026453000.0,1.9938782330974902e-05,1775026453000.0,8.213766322384686e-05,1775026453000.0,0.0001780812189622,1775026453000.0,723.978515625,1775026453000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11.0,1775026598000.0,0.3361073732376098,1775026598000.0,2.74162818065804e-05,1775026598000.0,5.0382076269173126e-05,1775026598000.0,0.0001222397748641,1775026598000.0,699.78515625,1775026598000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
