step,training/global_step,training/global_step_timestamp,actor/entropy,actor/entropy_timestamp,actor/kl_loss,actor/kl_loss_timestamp,actor/ppo_kl,actor/ppo_kl_timestamp,actor/pg_loss,actor/pg_loss_timestamp,response_length/mean,response_length/mean_timestamp,val-core/math500/reward/mean@8,val-core/math500/reward/mean@8_timestamp,val-core/math500/reward/pass@1,val-core/math500/reward/pass@1_timestamp,val-core/math500/reward/pass@8,val-core/math500/reward/pass@8_timestamp,val-core/math500/reward/best@8/mean,val-core/math500/reward/best@8/mean_timestamp,val-aux/math500/response_length/mean@8,val-aux/math500/response_length/mean@8_timestamp,val-token/math500/summary/token_entropy_mean,val-token/math500/summary/token_entropy_mean_timestamp,val-token/math500/summary/low_confidence_token_ratio,val-token/math500/summary/low_confidence_token_ratio_timestamp,val-token/math500/summary/response_length_mean,val-token/math500/summary/response_length_mean_timestamp,val-token/math500/summary/top1_prob_mean,val-token/math500/summary/top1_prob_mean_timestamp,val-token/math500/summary/eos_prob_mean,val-token/math500/summary/eos_prob_mean_timestamp,val-token/math500/summary/topk_mass_mean,val-token/math500/summary/topk_mass_mean_timestamp,val-token/math500/summary/analyzed_samples,val-token/math500/summary/analyzed_samples_timestamp,val-token/math500/summary/analyzed_sample_fraction,val-token/math500/summary/analyzed_sample_fraction_timestamp
0,,,,,,,,,,,,,0.3745,1775107960000.0,0.3745,1775107960000.0,0.762,1775107960000.0,0.7084539999999999,1775107960000.0,812.46875,1775107960000.0,0.6603227107908832,1775107961000.0,0.1153890534251317,1775107961000.0,812.46875,1775107961000.0,0.8542631885776969,1775107961000.0,0.0011881919188604,1775107961000.0,0.9445495413259304,1775107961000.0,64.0,1775107961000.0,0.016,1775107961000.0
1,1.0,1775108174000.0,0.3455305397510528,1775108174000.0,1.4264529346608157e-06,1775108174000.0,2.336098011301857e-05,1775108174000.0,0.000138750566748,1775108174000.0,681.46875,1775108174000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0,1775108324000.0,0.3979718089103699,1775108324000.0,1.6335980237425218e-06,1775108324000.0,-3.60885561434543e-07,1775108324000.0,0.0001757106338118,1775108324000.0,716.40234375,1775108324000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3.0,1775108471000.0,0.3350235521793365,1775108471000.0,1.874205831198239e-06,1775108471000.0,3.2601152472722106e-05,1775108471000.0,-1.0512980225030333e-05,1775108471000.0,696.41796875,1775108471000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.0,1775108619000.0,0.3410149812698364,1775108619000.0,2.2655787503822467e-06,1775108619000.0,-1.486311748788438e-06,1775108619000.0,0.0001554316621366,1775108619000.0,706.796875,1775108619000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5.0,1775108768000.0,0.3481903970241546,1775108768000.0,3.2057439989241487e-06,1775108768000.0,-2.1444824492622416e-05,1775108768000.0,5.291877550916979e-05,1775108768000.0,714.208984375,1775108768000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.0,1775109319000.0,0.3942421376705169,1775109319000.0,6.585386775004309e-06,1775109319000.0,-2.2412842935359837e-05,1775109319000.0,5.395878184799585e-05,1775109319000.0,688.244140625,1775109319000.0,0.38925,1775109319000.0,0.38925,1775109319000.0,0.756,1775109319000.0,0.7089840000000001,1775109319000.0,844.453125,1775109319000.0,0.6491200297003881,1775109319000.0,0.1119252474789527,1775109319000.0,844.453125,1775109319000.0,0.85647900874547,1775109319000.0,0.001097093116158,1775109319000.0,0.9472574035492072,1775109319000.0,64.0,1775109319000.0,0.016,1775109319000.0
7,7.0,1775109471000.0,0.3421176075935364,1775109471000.0,9.231588469660323e-06,1775109471000.0,2.379836192289985e-05,1775109471000.0,0.0001656570974546,1775109471000.0,734.326171875,1775109471000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.0,1775109616000.0,0.317546933889389,1775109616000.0,1.0628790477973382e-05,1775109616000.0,-1.5757582872311104e-05,1775109616000.0,-1.4060350736144756e-05,1775109616000.0,656.322265625,1775109616000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.0,1775109766000.0,0.3295877575874328,1775109766000.0,1.1719859177361514e-05,1775109766000.0,-1.423229038699514e-05,1775109766000.0,0.0001535691720278,1775109766000.0,712.845703125,1775109766000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10.0,1775109918000.0,0.3164028525352478,1775109918000.0,1.6904867864653284e-05,1775109918000.0,1.53313024271462e-05,1775109918000.0,0.0001644187731812,1775109918000.0,729.7578125,1775109918000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11.0,1775110065000.0,0.3073181211948395,1775110065000.0,2.4959582145989145e-05,1775110065000.0,8.36221741518095e-05,1775110065000.0,0.0001658032555127,1775110065000.0,695.4921875,1775110065000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.0,1775110610000.0,0.3372210562229156,1775110610000.0,2.6534553335011424e-05,1775110610000.0,5.463676256312056e-05,1775110610000.0,9.41714518987169e-05,1775110610000.0,746.615234375,1775110610000.0,0.4325,1775110610000.0,0.4325,1775110610000.0,0.796,1775110610000.0,0.746952,1775110610000.0,786.578125,1775110610000.0,0.4047850520943139,1775110610000.0,0.0778689338709997,1775110610000.0,786.578125,1775110610000.0,0.8877668042202909,1775110610000.0,0.0010044412833103,1775110610000.0,0.9731754332455824,1775110610000.0,64.0,1775110610000.0,0.016,1775110610000.0
13,13.0,1775110762000.0,0.2492144703865051,1775110762000.0,2.881115067587814e-05,1775110762000.0,4.073137031818108e-05,1775110762000.0,0.0002549010537222,1775110762000.0,713.2578125,1775110762000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14.0,1775110917000.0,0.2705309689044952,1775110917000.0,3.179625050009349e-05,1775110917000.0,7.345048207163529e-05,1775110917000.0,7.043374887416576e-05,1775110917000.0,718.87890625,1775110917000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15.0,1775111067000.0,0.2749347686767578,1775111067000.0,3.2222527378777954e-05,1775111067000.0,3.885898747335581e-05,1775111067000.0,0.0001398358180253,1775111067000.0,702.841796875,1775111067000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16.0,1775111214000.0,0.2316790372133255,1775111214000.0,4.067343687808034e-05,1775111214000.0,2.99160080629024e-05,1775111214000.0,0.0001678759360679,1775111214000.0,682.71484375,1775111214000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.0,1775111363000.0,0.226253792643547,1775111363000.0,3.767134611010192e-05,1775111363000.0,-9.993816471265404e-06,1775111363000.0,0.0003294758967626,1775111363000.0,680.70703125,1775111363000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18.0,1775111898000.0,0.219370350241661,1775111898000.0,3.971707513628076e-05,1775111898000.0,9.777008841993506e-05,1775111898000.0,0.0002537861858513,1775111898000.0,665.244140625,1775111898000.0,0.455,1775111898000.0,0.455,1775111898000.0,0.782,1775111898000.0,0.7363000000000001,1775111898000.0,747.3125,1775111898000.0,0.2935477205968635,1775111898000.0,0.0561804800535251,1775111898000.0,747.3125,1775111898000.0,0.90944721113133,1775111898000.0,0.0011036757332119,1775111898000.0,0.9853840217229825,1775111898000.0,64.0,1775111898000.0,0.016,1775111898000.0
19,19.0,1775112045000.0,0.2259964048862457,1775112045000.0,4.428993431382367e-05,1775112045000.0,-2.516286516796029e-05,1775112045000.0,0.0003091575698128,1775112045000.0,664.3671875,1775112045000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20.0,1775112188000.0,0.196067526936531,1775112188000.0,4.5255091013274296e-05,1775112188000.0,3.097625880599253e-05,1775112188000.0,0.0002556398691666,1775112188000.0,633.544921875,1775112188000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21.0,1775112333000.0,0.1973297446966171,1775112333000.0,4.938559855816038e-05,1775112333000.0,-5.333634487492134e-05,1775112333000.0,0.0002465776360232,1775112333000.0,635.591796875,1775112333000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22.0,1775112477000.0,0.1873332560062408,1775112477000.0,4.917958760941587e-05,1775112477000.0,5.108208315007801e-06,1775112477000.0,0.0004691516801642,1775112477000.0,644.921875,1775112477000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23.0,1775112619000.0,0.1609601378440857,1775112619000.0,5.493836427916676e-05,1775112619000.0,2.584285433870903e-06,1775112619000.0,0.0002406045454677,1775112619000.0,610.228515625,1775112619000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24.0,1775113135000.0,0.1742285788059234,1775113135000.0,6.123839564864397e-05,1775113135000.0,-2.499089515417552e-05,1775113135000.0,0.00021886695896,1775113135000.0,596.080078125,1775113135000.0,0.50275,1775113135000.0,0.50275,1775113135000.0,0.786,1775113135000.0,0.7486179999999999,1775113135000.0,686.40625,1775113135000.0,0.2999304267992714,1775113135000.0,0.0577054404734805,1775113135000.0,686.40625,1775113135000.0,0.909199520799692,1775113135000.0,0.0013661483677401,1775113135000.0,0.9848806404237076,1775113135000.0,64.0,1775113135000.0,0.016,1775113135000.0
25,25.0,1775113280000.0,0.178176000714302,1775113280000.0,5.6347630732034304e-05,1775113280000.0,-1.3791583532096752e-05,1775113280000.0,0.0003567467869629,1775113280000.0,639.958984375,1775113280000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26.0,1775113421000.0,0.217825636267662,1775113421000.0,5.9464237779138784e-05,1775113421000.0,2.3004244695812304e-06,1775113421000.0,0.0001823510680765,1775113421000.0,614.564453125,1775113421000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27.0,1775113562000.0,0.1543673872947693,1775113562000.0,5.805439668904455e-05,1775113562000.0,-2.039486943994362e-05,1775113562000.0,0.0001354674309368,1775113562000.0,591.0625,1775113562000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28.0,1775113705000.0,0.1588909775018692,1775113705000.0,6.325764230297182e-05,1775113705000.0,4.058903638437528e-05,1775113705000.0,0.0001634555722347,1775113705000.0,610.39453125,1775113705000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29.0,1775113846000.0,0.1486983448266983,1775113846000.0,5.993422830385953e-05,1775113846000.0,-5.483265186478903e-05,1775113846000.0,0.0001885432438939,1775113846000.0,584.53515625,1775113846000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30.0,1775114355000.0,0.1610427647829055,1775114355000.0,6.52502866245186e-05,1775114355000.0,2.8694982507460057e-05,1775114355000.0,0.0004080997632627,1775114355000.0,620.21875,1775114355000.0,0.5155,1775114355000.0,0.5155,1775114355000.0,0.798,1775114355000.0,0.757746,1775114355000.0,681.109375,1775114355000.0,0.2239571199624734,1775114355000.0,0.0420499644422013,1775114355000.0,681.109375,1775114355000.0,0.9241935108826532,1775114355000.0,0.0013243923288027,1775114355000.0,0.9925637236098944,1775114355000.0,64.0,1775114355000.0,0.016,1775114355000.0
31,31.0,1775114496000.0,0.1474833488464355,1775114496000.0,6.741338922466866e-05,1775114496000.0,-1.4435233104848066e-05,1775114496000.0,0.000257952060565,1775114496000.0,588.173828125,1775114496000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
