formal_label,run_name,run_id,step,training_global_step,actor_entropy,actor_kl_loss,actor_ppo_kl,actor_pg_loss,train_response_length_mean,val_reward_mean,val_reward_pass1,val_reward_pass8,val_reward_best8_mean,val_aux_response_length_mean,val_token_entropy_mean,val_low_confidence_ratio,val_token_response_length_mean,val_top1_prob_mean,val_eos_prob_mean,val_topk_mass_mean,val_analyzed_samples,val_analyzed_sample_fraction
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,0,,,,,,,0.3745,0.3745,0.762,0.7084539999999999,812.46875,0.6603227107908832,0.1153890534251317,812.46875,0.8542631885776969,0.0011881919188604,0.9445495413259304,64.0,0.016
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,1,1.0,0.3455305397510528,1.4264529346608157e-06,2.336098011301857e-05,0.000138750566748,681.46875,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,2,2.0,0.3979718089103699,1.6335980237425218e-06,-3.60885561434543e-07,0.0001757106338118,716.40234375,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,3,3.0,0.3350235521793365,1.874205831198239e-06,3.2601152472722106e-05,-1.0512980225030333e-05,696.41796875,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,4,4.0,0.3410149812698364,2.2655787503822467e-06,-1.486311748788438e-06,0.0001554316621366,706.796875,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,5,5.0,0.3481903970241546,3.2057439989241487e-06,-2.1444824492622416e-05,5.291877550916979e-05,714.208984375,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,6,6.0,0.3942421376705169,6.585386775004309e-06,-2.2412842935359837e-05,5.395878184799585e-05,688.244140625,0.38925,0.38925,0.756,0.7089840000000001,844.453125,0.6491200297003881,0.1119252474789527,844.453125,0.85647900874547,0.001097093116158,0.9472574035492072,64.0,0.016
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,7,7.0,0.3421176075935364,9.231588469660323e-06,2.379836192289985e-05,0.0001656570974546,734.326171875,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,8,8.0,0.317546933889389,1.0628790477973382e-05,-1.5757582872311104e-05,-1.4060350736144756e-05,656.322265625,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,9,9.0,0.3295877575874328,1.1719859177361514e-05,-1.423229038699514e-05,0.0001535691720278,712.845703125,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,10,10.0,0.3164028525352478,1.6904867864653284e-05,1.53313024271462e-05,0.0001644187731812,729.7578125,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,11,11.0,0.3073181211948395,2.4959582145989145e-05,8.36221741518095e-05,0.0001658032555127,695.4921875,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,12,12.0,0.3372210562229156,2.6534553335011424e-05,5.463676256312056e-05,9.41714518987169e-05,746.615234375,0.4325,0.4325,0.796,0.746952,786.578125,0.4047850520943139,0.0778689338709997,786.578125,0.8877668042202909,0.0010044412833103,0.9731754332455824,64.0,0.016
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,13,13.0,0.2492144703865051,2.881115067587814e-05,4.073137031818108e-05,0.0002549010537222,713.2578125,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,14,14.0,0.2705309689044952,3.179625050009349e-05,7.345048207163529e-05,7.043374887416576e-05,718.87890625,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,15,15.0,0.2749347686767578,3.2222527378777954e-05,3.885898747335581e-05,0.0001398358180253,702.841796875,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,16,16.0,0.2316790372133255,4.067343687808034e-05,2.99160080629024e-05,0.0001678759360679,682.71484375,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,17,17.0,0.226253792643547,3.767134611010192e-05,-9.993816471265404e-06,0.0003294758967626,680.70703125,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,18,18.0,0.219370350241661,3.971707513628076e-05,9.777008841993506e-05,0.0002537861858513,665.244140625,0.455,0.455,0.782,0.7363000000000001,747.3125,0.2935477205968635,0.0561804800535251,747.3125,0.90944721113133,0.0011036757332119,0.9853840217229825,64.0,0.016
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,19,19.0,0.2259964048862457,4.428993431382367e-05,-2.516286516796029e-05,0.0003091575698128,664.3671875,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,20,20.0,0.196067526936531,4.5255091013274296e-05,3.097625880599253e-05,0.0002556398691666,633.544921875,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,21,21.0,0.1973297446966171,4.938559855816038e-05,-5.333634487492134e-05,0.0002465776360232,635.591796875,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,22,22.0,0.1873332560062408,4.917958760941587e-05,5.108208315007801e-06,0.0004691516801642,644.921875,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,23,23.0,0.1609601378440857,5.493836427916676e-05,2.584285433870903e-06,0.0002406045454677,610.228515625,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,24,24.0,0.1742285788059234,6.123839564864397e-05,-2.499089515417552e-05,0.00021886695896,596.080078125,0.50275,0.50275,0.786,0.7486179999999999,686.40625,0.2999304267992714,0.0577054404734805,686.40625,0.909199520799692,0.0013661483677401,0.9848806404237076,64.0,0.016
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,25,25.0,0.178176000714302,5.6347630732034304e-05,-1.3791583532096752e-05,0.0003567467869629,639.958984375,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,26,26.0,0.217825636267662,5.9464237779138784e-05,2.3004244695812304e-06,0.0001823510680765,614.564453125,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,27,27.0,0.1543673872947693,5.805439668904455e-05,-2.039486943994362e-05,0.0001354674309368,591.0625,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,28,28.0,0.1588909775018692,6.325764230297182e-05,4.058903638437528e-05,0.0001634555722347,610.39453125,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,29,29.0,0.1486983448266983,5.993422830385953e-05,-5.483265186478903e-05,0.0001885432438939,584.53515625,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,30,30.0,0.1610427647829055,6.52502866245186e-05,2.8694982507460057e-05,0.0004080997632627,620.21875,0.5155,0.5155,0.798,0.757746,681.109375,0.2239571199624734,0.0420499644422013,681.109375,0.9241935108826532,0.0013243923288027,0.9925637236098944,64.0,0.016
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,31,31.0,0.1474833488464355,6.741338922466866e-05,-1.4435233104848066e-05,0.000257952060565,588.173828125,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,32,32.0,0.1462071388959884,6.674745505819146e-05,1.925044688588784e-05,0.0003329006026433,588.13671875,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,33,33.0,0.1478209346532821,6.753588527885768e-05,-1.2322831413946744e-05,0.0002125075361618,587.12109375,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,34,34.0,0.1456450968980789,6.657193716108623e-05,5.410033847752515e-05,0.0003495845385259,595.615234375,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,35,35.0,0.1470647603273391,6.87566180275212e-05,-1.63535169539486e-06,0.0002115234960911,585.201171875,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,36,36.0,0.1426576077938079,6.666449939984886e-05,4.52598328013476e-05,0.0003694796973832,593.453125,0.5275,0.5275,0.82,0.7793340000000001,592.3125,0.2409663868061133,0.0457950828321198,592.3125,0.920971326917564,0.0015863223031993,0.9904216493850294,64.0,0.016
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,37,37.0,0.1449586749076843,7.006323685487814e-05,-3.647282821139797e-05,0.0003529483246893,601.68359375,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,38,38.0,0.151264876127243,7.339127364502929e-05,-1.4449273703753818e-05,0.0004031142161693,599.1796875,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,39,39.0,0.1570164114236831,7.509890944135122e-05,4.3315491323525634e-05,0.000243452559971,579.72265625,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,40,40.0,0.1477213948965072,7.32175838820126e-05,2.1442020248674257e-05,0.0003380975203981,593.63671875,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,41,41.0,0.1391234397888183,7.247391790343727e-05,-4.416575606480677e-05,0.0003694883716889,579.265625,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,42,42.0,0.1402892917394638,7.810216512638135e-05,-2.102011359209066e-05,0.00026963334642,578.802734375,0.52775,0.52775,0.808,0.764668,569.609375,0.2092851495697017,0.0394733232752708,569.609375,0.92823248332035,0.0016574898128358,0.9936471451720228,64.0,0.016
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,43,43.0,0.1331258416175842,7.762032976188493e-05,4.167591109549562e-05,0.0002903187441916,561.671875,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,44,44.0,0.1393700838088989,7.833995802286609e-05,1.32412123807768e-05,0.0003344212818774,576.896484375,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,45,45.0,0.1396930664777755,7.989940282726593e-05,4.119297813609535e-05,0.0003131807134195,586.9140625,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,46,46.0,0.1370116025209427,7.636334736815797e-05,7.106532146750055e-06,0.000242107988015,564.5546875,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,47,47.0,0.1311030834913253,8.28685614280289e-05,2.0801144184900977e-05,0.0002576150964159,564.28515625,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,48,48.0,0.1366739869117736,8.542235107000806e-05,1.0800873428751244e-05,0.0003133101999992,568.392578125,0.53175,0.53175,0.806,0.7674399999999999,639.734375,0.2274260235249703,0.0426202281220233,639.734375,0.925812683075654,0.0014540942086694,0.990811763806566,64.0,0.016
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,49,49.0,0.1415953487157821,8.451740445281075e-05,9.290513514947918e-06,0.0002813949013216,579.796875,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,50,50.0,0.1358945816755294,8.346365719091864e-05,3.704417137795346e-05,0.0003277203049947,560.525390625,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,51,51.0,0.1241678968071937,8.5996969303892e-05,1.3666217706820303e-05,0.0001969819759324,552.34765625,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,52,52.0,0.1218307837843895,8.626672034495186e-05,-1.7838400406589017e-05,6.108410798333352e-05,534.748046875,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,53,53.0,0.1357319951057434,8.364458011556053e-05,-1.816212427119268e-05,0.0003069201293328,561.931640625,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,54,54.0,0.1285600215196609,8.92614132155245e-05,-1.557594208034807e-05,0.0001701253468127,546.92578125,0.53975,0.53975,0.82,0.7786020000000001,524.203125,0.1989999726943676,0.0371695132492771,524.203125,0.9323756164998324,0.0019294900417748,0.9938273841057198,64.0,0.016
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,55,55.0,0.1249545961618423,8.831562418265548e-05,5.3270539867478206e-05,0.0001727710296108,544.099609375,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,56,56.0,0.1286934316158294,9.142215387925036e-05,4.623312816587344e-05,0.0002549240198277,553.53125,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,57,57.0,0.1349450945854187,9.051072753152312e-05,-1.2086946811401544e-05,0.0002155867050532,548.134765625,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,58,58.0,0.1330255568027496,9.34234143841195e-05,3.37721419132464e-05,0.000239658747887,547.7890625,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,59,59.0,0.1291608363389969,9.305395457204212e-05,5.461121675320868e-05,0.0002577510304035,552.5,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,60,60.0,0.1269072443246841,9.271696669799212e-05,-1.0511924521949825e-06,0.0003098948791375,554.0859375,0.54675,0.54675,0.818,0.779678,572.609375,0.2254728163255104,0.0424318498103528,572.609375,0.9254623805724846,0.0016506012574065,0.9911841402067624,64.0,0.016
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,61,61.0,0.1321625262498855,9.76533389049905e-05,6.640213400443962e-05,0.0002147998357031,544.740234375,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,62,62.0,0.1215766966342926,8.7211218371408e-05,-4.279024098963191e-05,0.0001377599446641,538.4453125,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,63,63.0,0.1312102526426315,9.308719869238756e-05,1.5748791494907266e-05,0.0003443599334786,563.65234375,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,64,64.0,0.134137749671936,9.20812509832558e-05,-3.672145899313861e-05,0.0001489600017521,540.708984375,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,65,65.0,0.1411355435848236,8.622854864626106e-05,6.193331273651737e-05,0.0003991666071669,572.849609375,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,66,66.0,0.1235056668519973,8.973435991777023e-05,2.2949906970382017e-05,0.0001436692809875,541.376953125,0.54875,0.54875,0.82,0.779848,604.71875,0.1686932329835586,0.0299209343186398,604.71875,0.9409876863788028,0.0015632792103177,0.995686661026027,64.0,0.016
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,67,67.0,0.127920851111412,9.182017244313556e-05,2.242597430424098e-06,0.0001829906950661,545.03515625,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,68,68.0,0.1249688416719436,9.051846643615136e-05,1.0840984085547234e-05,0.000160915376,540.21875,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,69,69.0,0.1245996803045272,9.588945364669144e-05,3.330188051611782e-05,0.0001731609227135,546.169921875,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,70,70.0,0.1199835166335106,9.910920914535382e-05,-2.8293046678840028e-05,0.0002054903525277,546.109375,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,71,71.0,0.1223644018173217,9.672004519245549e-05,3.702092679702673e-05,0.000200666816454,538.08984375,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,72,72.0,0.1187532320618629,9.37231615409928e-05,1.2771352366769406e-06,6.873619895486627e-05,528.69140625,0.55375,0.55375,0.816,0.78205,605.3125,0.3058050244754285,0.0553175012906556,605.3125,0.915301459710747,0.0016152912070923,0.982531833993324,64.0,0.016
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,73,73.0,0.146206259727478,8.896909810118814e-05,-3.596025294760885e-06,0.000206956279726,542.640625,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,74,74.0,0.1220637336373329,9.201097057598416e-05,1.1971679442890348e-05,0.0002013236389757,549.734375,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,75,75.0,0.1194514408707618,9.834707287836864e-05,4.932385494194058e-05,0.0001124222962971,533.013671875,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,76,76.0,0.1191859543323516,9.182455274014956e-05,4.2981372257999695e-05,0.0001459654731661,535.224609375,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,77,77.0,0.1156583875417709,9.662664056975244e-05,-2.129327575772777e-05,0.0001340061262453,543.177734375,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,78,78.0,0.1110707893967628,9.899324267337306e-05,2.55803946171973e-05,-4.4010266719851643e-07,515.060546875,0.55525,0.55525,0.824,0.7877799999999999,591.296875,0.2590920115879316,0.0485690880744127,591.296875,0.9193621512633456,0.0016966790400251,0.988187577978166,64.0,0.016
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,79,79.0,0.1157062277197837,8.92975605992774e-05,2.686410106989001e-05,0.0002158770294045,542.912109375,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,80,80.0,0.1219914406538009,9.527781838869488e-05,-7.977014078563993e-06,0.000163734635862,533.91796875,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,81,81.0,0.1135697811841964,9.516743321569264e-05,1.6331461026197758e-05,0.0001623952648515,534.216796875,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,82,82.0,0.1152136102318763,9.086766549160076e-05,2.255913212767524e-05,0.0001256667901543,525.701171875,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,83,83.0,0.122451938688755,9.966296065044844e-05,-2.503611407966844e-05,0.0001959647815965,542.20703125,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,84,84.0,0.1141008138656616,9.362668426149412e-05,8.037615862294123e-06,0.0001230550687978,528.681640625,0.54925,0.54925,0.794,0.7635740000000001,684.828125,0.2484408969596719,0.0473430833466426,684.828125,0.9223815727186016,0.0013604616478537,0.9876911986950974,64.0,0.016
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,85,85.0,0.120177611708641,9.434778897343676e-05,2.425485894708146e-05,0.0001549303051433,529.853515625,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,86,86.0,0.1197016090154647,0.0001030738689848,1.2865608356449345e-05,0.0001859404073911,537.12109375,,,,,,,,,,,,,
Base nominal control condition,base_b_reward_shuffle_20260402_132309,n7tq5k0sid555howe8hmg,87,87.0,0.1201749444007873,9.812917248552822e-05,-2.2825429890183105e-05,0.000219302498408,537.58984375,,,,,,,,,,,,,
