step,training/global_step,training/global_step_timestamp,actor/entropy,actor/entropy_timestamp,actor/kl_loss,actor/kl_loss_timestamp,actor/ppo_kl,actor/ppo_kl_timestamp,actor/pg_loss,actor/pg_loss_timestamp,response_length/mean,response_length/mean_timestamp,val-core/math500/reward/mean@1,val-core/math500/reward/mean@1_timestamp,val-core/math500/reward/pass@1,val-core/math500/reward/pass@1_timestamp,val-aux/math500/response_length/mean@1,val-aux/math500/response_length/mean@1_timestamp,val-token/math500/summary/token_entropy_mean,val-token/math500/summary/token_entropy_mean_timestamp,val-token/math500/summary/low_confidence_token_ratio,val-token/math500/summary/low_confidence_token_ratio_timestamp,val-token/math500/summary/response_length_mean,val-token/math500/summary/response_length_mean_timestamp,val-token/math500/summary/top1_prob_mean,val-token/math500/summary/top1_prob_mean_timestamp,val-token/math500/summary/eos_prob_mean,val-token/math500/summary/eos_prob_mean_timestamp,val-token/math500/summary/topk_mass_mean,val-token/math500/summary/topk_mass_mean_timestamp,val-token/math500/summary/analyzed_samples,val-token/math500/summary/analyzed_samples_timestamp,val-token/math500/summary/analyzed_sample_fraction,val-token/math500/summary/analyzed_sample_fraction_timestamp
0,,,,,,,,,,,,,0.358,1775396541000.0,0.358,1775396541000.0,755.484375,1775396541000.0,0.752485174479,1775396541000.0,0.1236375669582842,1775396541000.0,755.484375,1775396541000.0,0.8403076832155065,1775396541000.0,0.0010967496038245,1775396541000.0,0.9392367936135304,1775396541000.0,64.0,1775396541000.0,0.128,1775396541000.0
1,1.0,1775396578000.0,0.335877001285553,1775396578000.0,2.225526208121664e-05,1775396578000.0,0.0001406388067834,1775396578000.0,-17.510244369506836,1775396578000.0,648.140625,1775396578000.0,,,,,,,,,,,,,,,,,,,,,,
2,2.0,1775396610000.0,0.3830341696739197,1775396610000.0,2.4815821575430164e-05,1775396610000.0,-5.99309330482356e-05,1775396610000.0,-39.84183883666992,1775396610000.0,738.359375,1775396610000.0,,,,,,,,,,,,,,,,,,,,,,
3,3.0,1775396642000.0,0.4645488858222961,1775396642000.0,2.957209767373569e-05,1775396642000.0,4.4359794685533416e-05,1775396642000.0,-11.744335174560549,1775396642000.0,711.828125,1775396642000.0,,,,,,,,,,,,,,,,,,,,,,
4,4.0,1775396674000.0,0.3695918321609497,1775396674000.0,2.410373355132833e-05,1775396674000.0,-7.008644413364351e-05,1775396674000.0,-23.261662006378177,1775396674000.0,730.984375,1775396674000.0,,,,,,,,,,,,,,,,,,,,,,
5,5.0,1775396705000.0,0.3155423700809479,1775396705000.0,3.0220203257158573e-05,1775396705000.0,-1.9841026755784696e-05,1775396705000.0,-16.675543785095215,1775396705000.0,634.0625,1775396705000.0,,,,,,,,,,,,,,,,,,,,,,
6,6.0,1775396768000.0,0.4319989681243897,1775396768000.0,3.280360215285327e-05,1775396768000.0,-0.0001460572688642,1775396768000.0,-20.883602142333984,1775396768000.0,653.53125,1775396768000.0,0.39,1775396768000.0,0.39,1775396768000.0,641.859375,1775396768000.0,0.4705489081159858,1775396768000.0,0.089997322232771,1775396768000.0,641.859375,1775396768000.0,0.8725604007607376,1775396768000.0,0.0014994742224595,1775396768000.0,0.9690397104660616,1775396768000.0,64.0,1775396768000.0,0.128,1775396768000.0
7,7.0,1775396801000.0,0.3891682028770447,1775396801000.0,3.5429915783424804e-05,1775396801000.0,4.573060948587226e-05,1775396801000.0,-14.41759204864502,1775396801000.0,729.21875,1775396801000.0,,,,,,,,,,,,,,,,,,,,,,
8,8.0,1775396832000.0,0.3007030785083771,1775396832000.0,4.062424125095277e-05,1775396832000.0,0.0001239799466929,1775396832000.0,-33.38357877731323,1775396832000.0,664.578125,1775396832000.0,,,,,,,,,,,,,,,,,,,,,,
9,9.0,1775396865000.0,0.4356431663036346,1775396865000.0,5.514568283615517e-05,1775396865000.0,1.2780916165411329e-06,1775396865000.0,-39.270291328430176,1775396865000.0,671.203125,1775396865000.0,,,,,,,,,,,,,,,,,,,,,,
10,10.0,1775396897000.0,0.2961112260818481,1775396897000.0,8.118904588627629e-05,1775396897000.0,0.0001550464905903,1775396897000.0,-42.62492775917053,1775396897000.0,679.96875,1775396897000.0,,,,,,,,,,,,,,,,,,,,,,
11,11.0,1775396928000.0,0.2785292267799377,1775396928000.0,6.864032184239477e-05,1775396928000.0,0.0001077626560572,1775396928000.0,-49.83008527755737,1775396928000.0,702.9375,1775396928000.0,,,,,,,,,,,,,,,,,,,,,,
12,12.0,1775396989000.0,0.3978610038757324,1775396989000.0,7.304851851586136e-05,1775396989000.0,-0.0001043393676809,1775396989000.0,-63.0640025138855,1775396989000.0,680.140625,1775396989000.0,0.362,1775396989000.0,0.362,1775396989000.0,717.484375,1775396989000.0,0.4842079830682663,1775396989000.0,0.0878939001284871,1775396989000.0,717.484375,1775396989000.0,0.877122410778987,1775396989000.0,0.0012015508253887,1775396989000.0,0.9661270871327836,1775396989000.0,64.0,1775396989000.0,0.128,1775396989000.0
13,13.0,1775397023000.0,0.3315432071685791,1775397023000.0,7.7403399927789e-05,1775397023000.0,-8.769066765523803e-05,1775397023000.0,-9.792201042175291,1775397023000.0,796.34375,1775397023000.0,,,,,,,,,,,,,,,,,,,,,,
14,14.0,1775397054000.0,0.3025350570678711,1775397054000.0,6.542086953231774e-05,1775397054000.0,-1.9266808010343084e-05,1775397054000.0,-54.80018043518066,1775397054000.0,738.09375,1775397054000.0,,,,,,,,,,,,,,,,,,,,,,
15,15.0,1775397083000.0,0.3482323586940765,1775397083000.0,9.83605723376968e-05,1775397083000.0,-1.7366871816193452e-06,1775397083000.0,-37.75952959060669,1775397083000.0,610.28125,1775397083000.0,,,,,,,,,,,,,,,,,,,,,,
16,16.0,1775397114000.0,0.2986330389976501,1775397114000.0,0.000160920395956,1775397114000.0,0.000111183062927,1775397114000.0,-51.048216581344604,1775397114000.0,678.984375,1775397114000.0,,,,,,,,,,,,,,,,,,,,,,
17,17.0,1775397146000.0,0.3513293862342834,1775397146000.0,0.0001349191866211,1775397146000.0,-1.0685134839150123e-06,1775397146000.0,-35.12920379638672,1775397146000.0,726.71875,1775397146000.0,,,,,,,,,,,,,,,,,,,,,,
18,18.0,1775397208000.0,0.3227576315402984,1775397208000.0,0.0001429624235242,1775397208000.0,-0.0001925331162055,1775397208000.0,-76.23232531547546,1775397208000.0,764.90625,1775397208000.0,0.406,1775397208000.0,0.406,1775397208000.0,722.453125,1775397208000.0,0.4982398721610092,1775397208000.0,0.0912905249042974,1775397208000.0,722.453125,1775397208000.0,0.8674530901370439,1775397208000.0,0.0011290631055944,1775397208000.0,0.9661456696582938,1775397208000.0,64.0,1775397208000.0,0.128,1775397208000.0
19,19.0,1775397240000.0,0.2510409355163574,1775397240000.0,0.0001912769484988,1775397240000.0,0.0001184538241432,1775397240000.0,-53.711602210998535,1775397240000.0,716.0625,1775397240000.0,,,,,,,,,,,,,,,,,,,,,,
20,20.0,1775397272000.0,0.3031893074512481,1775397272000.0,0.0002815141547216,1775397272000.0,0.0002322666109648,1775397272000.0,-46.47698473930359,1775397272000.0,657.90625,1775397272000.0,,,,,,,,,,,,,,,,,,,,,,
21,21.0,1775397304000.0,0.3139682412147522,1775397304000.0,0.0002492665262252,1775397304000.0,-5.871331040907535e-05,1775397304000.0,-68.01893162727356,1775397304000.0,682.890625,1775397304000.0,,,,,,,,,,,,,,,,,,,,,,
22,22.0,1775397334000.0,0.2737869620323181,1775397334000.0,0.0002641325540935,1775397334000.0,-4.6316880343511e-05,1775397334000.0,-66.57417583465576,1775397334000.0,604.78125,1775397334000.0,,,,,,,,,,,,,,,,,,,,,,
23,23.0,1775397366000.0,0.3339662253856659,1775397366000.0,0.0002201922543463,1775397366000.0,-0.0002106217038999,1775397366000.0,-70.40666103363037,1775397366000.0,734.5625,1775397366000.0,,,,,,,,,,,,,,,,,,,,,,
24,24.0,1775397429000.0,0.4552841186523437,1775397429000.0,0.0003454429938756,1775397429000.0,-8.636067241241108e-05,1775397429000.0,-36.82379627227783,1775397429000.0,769.0,1775397429000.0,0.414,1775397429000.0,0.414,1775397429000.0,635.71875,1775397429000.0,0.4933499015257175,1775397429000.0,0.0900063904045617,1775397429000.0,635.71875,1775397429000.0,0.8724249895241434,1775397429000.0,0.0015835503325194,1775397429000.0,0.9662544142852424,1775397429000.0,64.0,1775397429000.0,0.128,1775397429000.0
25,25.0,1775397461000.0,0.2548577189445495,1775397461000.0,0.0002687551586859,1775397461000.0,-0.0001655521459724,1775397461000.0,-90.45414638519289,1775397461000.0,696.765625,1775397461000.0,,,,,,,,,,,,,,,,,,,,,,
26,26.0,1775397493000.0,0.3118935227394104,1775397493000.0,0.0003150873626509,1775397493000.0,-0.0001481135404901,1775397493000.0,-79.69416356086731,1775397493000.0,729.140625,1775397493000.0,,,,,,,,,,,,,,,,,,,,,,
27,27.0,1775397525000.0,0.3026589453220367,1775397525000.0,0.0003652944878922,1775397525000.0,4.172915384970111e-05,1775397525000.0,-102.8050012588501,1775397525000.0,712.515625,1775397525000.0,,,,,,,,,,,,,,,,,,,,,,
28,28.0,1775397557000.0,0.228617176413536,1775397557000.0,0.0005989474448142,1775397557000.0,-2.9320538033061897e-05,1775397557000.0,-101.88260126113892,1775397557000.0,662.0625,1775397557000.0,,,,,,,,,,,,,,,,,,,,,,
29,29.0,1775397590000.0,0.4142099022865295,1775397590000.0,0.0004188364118817,1775397590000.0,-0.0001336731591408,1775397590000.0,-89.89216351509094,1775397590000.0,703.578125,1775397590000.0,,,,,,,,,,,,,,,,,,,,,,
30,30.0,1775397653000.0,0.2122581899166107,1775397653000.0,0.0004800337487722,1775397653000.0,6.655903871433111e-05,1775397653000.0,-82.19309091567993,1775397653000.0,639.6875,1775397653000.0,0.45,1775397653000.0,0.45,1775397653000.0,757.625,1775397653000.0,0.8177097077771709,1775397653000.0,0.1316614420062696,1775397653000.0,757.625,1775397653000.0,0.8382501540807898,1775397653000.0,0.0011693830810065,1775397653000.0,0.9287345491606612,1775397653000.0,64.0,1775397653000.0,0.128,1775397653000.0
31,31.0,1775397683000.0,0.2181751877069473,1775397683000.0,0.0004899593222944,1775397683000.0,7.000426194281317e-05,1775397683000.0,-120.72083520889282,1775397683000.0,635.34375,1775397683000.0,,,,,,,,,,,,,,,,,,,,,,
32,32.0,1775397715000.0,0.2300547361373901,1775397715000.0,0.0005816870270791,1775397715000.0,3.588753770600306e-06,1775397715000.0,-138.96535968780518,1775397715000.0,671.4375,1775397715000.0,,,,,,,,,,,,,,,,,,,,,,
33,33.0,1775397746000.0,0.1946632117033004,1775397746000.0,0.0007278734074134,1775397746000.0,0.0003140850883482,1775397746000.0,-142.4532597064972,1775397746000.0,596.15625,1775397746000.0,,,,,,,,,,,,,,,,,,,,,,
34,34.0,1775397778000.0,0.2232601046562194,1775397778000.0,0.0006266941809371,1775397778000.0,-5.612489803752396e-05,1775397778000.0,-136.40365552902222,1775397778000.0,729.515625,1775397778000.0,,,,,,,,,,,,,,,,,,,,,,
35,35.0,1775397805000.0,0.3002408742904663,1775397805000.0,0.000860681207996,1775397805000.0,-0.0001127030884617,1775397805000.0,-118.62020683288574,1775397805000.0,597.015625,1775397805000.0,,,,,,,,,,,,,,,,,,,,,,
36,36.0,1775397864000.0,0.1926198750734329,1775397864000.0,0.0006815321594331,1775397864000.0,-1.9684752828652563e-05,1775397864000.0,-161.67204809188843,1775397864000.0,630.5625,1775397864000.0,0.47,1775397864000.0,0.47,1775397864000.0,599.78125,1775397864000.0,0.2870637053640391,1775397864000.0,0.0552545198770385,1775397864000.0,599.78125,1775397864000.0,0.907877016780537,1775397864000.0,0.0015638834774015,1775397864000.0,0.9879035971570038,1775397864000.0,64.0,1775397864000.0,0.128,1775397864000.0
37,37.0,1775397895000.0,0.3095183074474334,1775397895000.0,0.0006383892632584,1775397895000.0,-5.647634588967776e-05,1775397895000.0,-118.09939074516296,1775397895000.0,694.546875,1775397895000.0,,,,,,,,,,,,,,,,,,,,,,
38,38.0,1775397926000.0,0.2284274697303772,1775397926000.0,0.0009279778178097,1775397926000.0,0.0001819257576585,1775397926000.0,-145.5955741405487,1775397926000.0,679.953125,1775397926000.0,,,,,,,,,,,,,,,,,,,,,,
39,39.0,1775397956000.0,0.1855125725269317,1775397956000.0,0.0006745150922142,1775397956000.0,-9.503283035883214e-05,1775397956000.0,-194.20864129066467,1775397956000.0,615.546875,1775397956000.0,,,,,,,,,,,,,,,,,,,,,,
40,40.0,1775397986000.0,0.1758908182382583,1775397986000.0,0.0008675996687088,1775397986000.0,0.0002348147735347,1775397986000.0,-145.74066710472107,1775397986000.0,630.546875,1775397986000.0,,,,,,,,,,,,,,,,,,,,,,
41,41.0,1775398016000.0,0.2307638525962829,1775398016000.0,0.0008133353403536,1775398016000.0,0.0001455936521779,1775398016000.0,-129.69791436195374,1775398016000.0,675.796875,1775398016000.0,,,,,,,,,,,,,,,,,,,,,,
42,42.0,1775398077000.0,0.1814386695623397,1775398077000.0,0.0009643697521823,1775398077000.0,-4.229184810355946e-05,1775398077000.0,-165.65535020828247,1775398077000.0,692.421875,1775398077000.0,0.486,1775398077000.0,0.486,1775398077000.0,550.359375,1775398077000.0,0.3611662559031668,1775398077000.0,0.0675127047667717,1775398077000.0,550.359375,1775398077000.0,0.8955830710847282,1775398077000.0,0.0017646993979748,1775398077000.0,0.9792004664244848,1775398077000.0,64.0,1775398077000.0,0.128,1775398077000.0
43,43.0,1775398108000.0,0.2233384251594543,1775398108000.0,0.0010806116406456,1775398108000.0,-1.1205546002202029e-05,1775398108000.0,-142.96996545791626,1775398108000.0,640.140625,1775398108000.0,,,,,,,,,,,,,,,,,,,,,,
44,44.0,1775398139000.0,0.2000148147344589,1775398139000.0,0.0009663617438491,1775398139000.0,-4.117986463825218e-05,1775398139000.0,-152.2875714302063,1775398139000.0,635.984375,1775398139000.0,,,,,,,,,,,,,,,,,,,,,,
45,45.0,1775398170000.0,0.1763047873973846,1775398170000.0,0.0009504728495812,1775398170000.0,-1.8676846593734808e-05,1775398170000.0,-204.1209127902985,1775398170000.0,585.78125,1775398170000.0,,,,,,,,,,,,,,,,,,,,,,
46,46.0,1775398199000.0,0.1478623896837234,1775398199000.0,0.0009020363249874,1775398199000.0,2.2265927782427752e-05,1775398199000.0,-206.53623723983765,1775398199000.0,605.171875,1775398199000.0,,,,,,,,,,,,,,,,,,,,,,
47,47.0,1775398230000.0,0.1673717200756073,1775398230000.0,0.0011168647670274,1775398230000.0,7.330660264415201e-05,1775398230000.0,-192.92393851280207,1775398230000.0,598.65625,1775398230000.0,,,,,,,,,,,,,,,,,,,,,,
48,48.0,1775398291000.0,0.17143315076828,1775398291000.0,0.0010668971408449,1775398291000.0,9.04203357094957e-05,1775398291000.0,-190.1186170578003,1775398291000.0,624.578125,1775398291000.0,0.486,1775398291000.0,0.486,1775398291000.0,690.015625,1775398291000.0,0.3222259433720683,1775398291000.0,0.0642648490749756,1775398291000.0,690.015625,1775398291000.0,0.8987243006900532,1775398291000.0,0.0013746651735848,1775398291000.0,0.983974488661915,1775398291000.0,64.0,1775398291000.0,0.128,1775398291000.0
49,49.0,1775398322000.0,0.1638947427272796,1775398322000.0,0.0013671413380507,1775398322000.0,2.0882198953131592e-05,1775398322000.0,-174.8951780796051,1775398322000.0,660.96875,1775398322000.0,,,,,,,,,,,,,,,,,,,,,,
50,50.0,1775398354000.0,0.1527113020420074,1775398354000.0,0.001257795966012,1775398354000.0,5.7518873880724186e-05,1775398354000.0,-181.5847864151001,1775398354000.0,625.46875,1775398354000.0,,,,,,,,,,,,,,,,,,,,,,
51,51.0,1775398386000.0,0.1569402664899826,1775398386000.0,0.0011532133867149,1775398386000.0,-7.706186845268803e-05,1775398386000.0,-205.52427339553836,1775398386000.0,579.3125,1775398386000.0,,,,,,,,,,,,,,,,,,,,,,
