formal_label,run_name,run_id,step,training_global_step,actor_entropy,actor_kl_loss,actor_ppo_kl,actor_pg_loss,train_response_length_mean,val_reward_mean,val_reward_pass1,val_aux_response_length_mean,val_token_entropy_mean,val_low_confidence_ratio,val_token_response_length_mean,val_top1_prob_mean,val_eos_prob_mean,val_topk_mass_mean,val_analyzed_samples,val_analyzed_sample_fraction
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,0,,,,,,,0.358,0.358,755.484375,0.752485174479,0.1236375669582842,755.484375,0.8403076832155065,0.0010967496038245,0.9392367936135304,64.0,0.128
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,1,1.0,0.335877001285553,2.225526208121664e-05,0.0001406388067834,-17.510244369506836,648.140625,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,2,2.0,0.3830341696739197,2.4815821575430164e-05,-5.99309330482356e-05,-39.84183883666992,738.359375,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,3,3.0,0.4645488858222961,2.957209767373569e-05,4.4359794685533416e-05,-11.744335174560549,711.828125,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,4,4.0,0.3695918321609497,2.410373355132833e-05,-7.008644413364351e-05,-23.261662006378177,730.984375,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,5,5.0,0.3155423700809479,3.0220203257158573e-05,-1.9841026755784696e-05,-16.675543785095215,634.0625,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,6,6.0,0.4319989681243897,3.280360215285327e-05,-0.0001460572688642,-20.883602142333984,653.53125,0.39,0.39,641.859375,0.4705489081159858,0.089997322232771,641.859375,0.8725604007607376,0.0014994742224595,0.9690397104660616,64.0,0.128
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,7,7.0,0.3891682028770447,3.5429915783424804e-05,4.573060948587226e-05,-14.41759204864502,729.21875,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,8,8.0,0.3007030785083771,4.062424125095277e-05,0.0001239799466929,-33.38357877731323,664.578125,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,9,9.0,0.4356431663036346,5.514568283615517e-05,1.2780916165411329e-06,-39.270291328430176,671.203125,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,10,10.0,0.2961112260818481,8.118904588627629e-05,0.0001550464905903,-42.62492775917053,679.96875,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,11,11.0,0.2785292267799377,6.864032184239477e-05,0.0001077626560572,-49.83008527755737,702.9375,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,12,12.0,0.3978610038757324,7.304851851586136e-05,-0.0001043393676809,-63.0640025138855,680.140625,0.362,0.362,717.484375,0.4842079830682663,0.0878939001284871,717.484375,0.877122410778987,0.0012015508253887,0.9661270871327836,64.0,0.128
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,13,13.0,0.3315432071685791,7.7403399927789e-05,-8.769066765523803e-05,-9.792201042175291,796.34375,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,14,14.0,0.3025350570678711,6.542086953231774e-05,-1.9266808010343084e-05,-54.80018043518066,738.09375,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,15,15.0,0.3482323586940765,9.83605723376968e-05,-1.7366871816193452e-06,-37.75952959060669,610.28125,,,,,,,,,,,
Base small-group ablation (n=1),base_c_n1_group_ablation_rerun180_2gpu_restart_20260405_213719,wr5lx7fw6wf99u6o9h4m0,16,16.0,0.2986330389976501,0.000160920395956,0.000111183062927,-51.048216581344604,678.984375,,,,,,,,,,,
