step,training/global_step,training/global_step_timestamp,actor/entropy,actor/entropy_timestamp,actor/ppo_kl,actor/ppo_kl_timestamp,actor/pg_loss,actor/pg_loss_timestamp,response_length/mean,response_length/mean_timestamp,val-core/math500/reward/mean@8,val-core/math500/reward/mean@8_timestamp,val-core/math500/reward/pass@1,val-core/math500/reward/pass@1_timestamp,val-core/math500/reward/pass@8,val-core/math500/reward/pass@8_timestamp,val-core/math500/reward/best@8/mean,val-core/math500/reward/best@8/mean_timestamp,val-aux/math500/response_length/mean@8,val-aux/math500/response_length/mean@8_timestamp,val-token/math500/summary/token_entropy_mean,val-token/math500/summary/token_entropy_mean_timestamp,val-token/math500/summary/low_confidence_token_ratio,val-token/math500/summary/low_confidence_token_ratio_timestamp,val-token/math500/summary/response_length_mean,val-token/math500/summary/response_length_mean_timestamp,val-token/math500/summary/top1_prob_mean,val-token/math500/summary/top1_prob_mean_timestamp,val-token/math500/summary/eos_prob_mean,val-token/math500/summary/eos_prob_mean_timestamp,val-token/math500/summary/topk_mass_mean,val-token/math500/summary/topk_mass_mean_timestamp,val-token/math500/summary/analyzed_samples,val-token/math500/summary/analyzed_samples_timestamp,val-token/math500/summary/analyzed_sample_fraction,val-token/math500/summary/analyzed_sample_fraction_timestamp
0,,,,,,,,,,,0.3745,1775061507000.0,0.3745,1775061507000.0,0.762,1775061507000.0,0.7084539999999999,1775061507000.0,812.46875,1775061507000.0,0.6603227107908832,1775061507000.0,0.1153890534251317,1775061507000.0,812.46875,1775061507000.0,0.8542631885776969,1775061507000.0,0.0011881919188604,1775061507000.0,0.9445495413259304,1775061507000.0,64.0,1775061507000.0,0.016,1775061507000.0
1,1.0,1775061627000.0,0.3455305397510528,1775061627000.0,-1.3782861681743697e-05,1775061627000.0,0.0001387388219882,1775061627000.0,681.46875,1775061627000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0,1775061748000.0,0.3553726077079773,1775061748000.0,-4.5590737834722006e-05,1775061748000.0,-3.508277700348117e-06,1775061748000.0,688.88671875,1775061748000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3.0,1775061873000.0,0.3939868807792664,1775061873000.0,1.1124183361133078e-06,1775061873000.0,2.2586359079923568e-05,1775061873000.0,735.314453125,1775061873000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.0,1775061996000.0,0.408247709274292,1775061996000.0,-3.11438435058875e-05,1775061996000.0,7.869611238220386e-05,1775061996000.0,735.365234375,1775061996000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5.0,1775062118000.0,0.3499517738819122,1775062118000.0,-1.9393156547309334e-07,1775062118000.0,-0.0001527507063201,1775062118000.0,721.509765625,1775062118000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.0,1775062628000.0,0.3858982920646667,1775062628000.0,2.615486769919073e-05,1775062628000.0,-8.297840281557001e-05,1775062628000.0,701.08203125,1775062628000.0,0.38075,1775062628000.0,0.38075,1775062628000.0,0.754,1775062628000.0,0.703634,1775062628000.0,864.71875,1775062628000.0,0.8855912612932133,1775062628000.0,0.1526146507173575,1775062628000.0,864.71875,1775062628000.0,0.8169118890979112,1775062628000.0,0.0010621823470237,1775062628000.0,0.9202588439345304,1775062628000.0,64.0,1775062628000.0,0.016,1775062628000.0
7,7.0,1775062751000.0,0.2954252958297729,1775062751000.0,4.791201400422551e-05,1775062751000.0,8.580069244601418e-05,1775062751000.0,724.158203125,1775062751000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.0,1775062874000.0,0.3295895755290985,1775062874000.0,-7.167986840528329e-06,1775062874000.0,6.317623962104335e-05,1775062874000.0,723.8984375,1775062874000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.0,1775062997000.0,0.3460823893547058,1775062997000.0,-3.051159148181881e-05,1775062997000.0,0.0001089171491912,1775062997000.0,714.181640625,1775062997000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
