formal_label,run_name,run_id,step,training_global_step,actor_entropy,actor_ppo_kl,actor_pg_loss,train_response_length_mean,val_reward_mean,val_reward_pass1,val_reward_pass8,val_reward_best8_mean,val_aux_response_length_mean,val_token_entropy_mean,val_low_confidence_ratio,val_token_response_length_mean,val_top1_prob_mean,val_eos_prob_mean,val_topk_mass_mean,val_analyzed_samples,val_analyzed_sample_fraction
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,0,,,,,,0.3745,0.3745,0.762,0.7084539999999999,812.46875,0.6603227107908832,0.1153890534251317,812.46875,0.8542631885776969,0.0011881919188604,0.9445495413259304,64.0,0.016
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,1,1.0,0.3455305397510528,-1.3782861681743697e-05,0.0001387388219882,681.46875,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,2,2.0,0.3553726077079773,-4.5590737834722006e-05,-3.508277700348117e-06,688.88671875,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,3,3.0,0.3939868807792664,1.1124183361133078e-06,2.2586359079923568e-05,735.314453125,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,4,4.0,0.408247709274292,-3.11438435058875e-05,7.869611238220386e-05,735.365234375,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,5,5.0,0.3499517738819122,-1.9393156547309334e-07,-0.0001527507063201,721.509765625,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,6,6.0,0.3858982920646667,2.615486769919073e-05,-8.297840281557001e-05,701.08203125,0.38075,0.38075,0.754,0.703634,864.71875,0.8855912612932133,0.1526146507173575,864.71875,0.8169118890979112,0.0010621823470237,0.9202588439345304,64.0,0.016
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,7,7.0,0.2954252958297729,4.791201400422551e-05,8.580069244601418e-05,724.158203125,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,8,8.0,0.3295895755290985,-7.167986840528329e-06,6.317623962104335e-05,723.8984375,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,9,9.0,0.3460823893547058,-3.051159148181881e-05,0.0001089171491912,714.181640625,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,10,10.0,0.3753516376018524,9.47136295268436e-05,2.889407353734441e-05,747.66015625,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,11,11.0,0.2837252020835876,4.339552375309808e-05,0.000105768719333,697.595703125,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,12,12.0,0.2595750987529754,5.542686076775993e-06,0.0001627980165608,725.408203125,0.41625,0.41625,0.772,0.7254060000000001,845.1875,0.4312354357718787,0.0801597278710345,845.1875,0.8842123696977355,0.0010400161683464,0.9721101341379436,64.0,0.016
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,13,13.0,0.2726920247077942,1.5290637574938426e-05,-4.449997069855271e-05,672.751953125,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,14,14.0,0.2839458882808685,-4.603926415436277e-06,8.566289097089452e-05,703.111328125,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,15,15.0,0.2627362012863159,2.268232482482979e-05,0.0001946617963892,711.38671875,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,16,16.0,0.2320944368839264,-5.859269138319689e-06,0.0002581781246941,699.0703125,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,17,17.0,0.2220049798488617,3.432103161316036e-05,0.0002165175971171,662.5546875,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,18,18.0,0.2554158866405487,3.596876263856075e-05,0.0003220062325226,702.1796875,0.44025,0.44025,0.772,0.7274680000000001,727.34375,0.3162074965693128,0.060515574650913,727.34375,0.9028333673364494,0.0011659206962275,0.984015310842676,64.0,0.016
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,19,19.0,0.2169364988803863,-7.780898749865095e-06,0.0002364289250129,666.490234375,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,20,20.0,0.2306690663099289,4.089580234634127e-05,0.0001614561767127,641.939453125,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,21,21.0,0.2341560870409012,2.4739315914956705e-05,0.0003878316774148,691.361328125,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,22,22.0,0.1907547116279602,5.8908743181262935e-05,0.0004181158616631,677.03515625,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,23,23.0,0.1772466301918029,1.1288905348516565e-05,0.0002427409716574,660.505859375,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,24,24.0,0.171433538198471,-1.4328618368475432e-05,0.0002726878487067,628.51953125,0.4995,0.4995,0.81,0.7663240000000001,754.25,0.2996448587415073,0.0565752403049386,754.25,0.9107796700537344,0.0010846398923697,0.9844820244564376,64.0,0.016
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,25,25.0,0.170351356267929,-2.692532208042886e-05,0.0003152342097791,637.302734375,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,26,26.0,0.1645254641771316,-8.415174555242988e-06,0.0002460276688598,617.091796875,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,27,27.0,0.1726542711257934,6.663090275502159e-05,0.0003819917843443,624.796875,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,28,28.0,0.1523488610982895,9.625703340176985e-06,0.0001664233016072,598.962890625,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,29,29.0,0.1566343605518341,3.114941329548926e-05,0.0003503944229805,619.501953125,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,30,30.0,0.153941810131073,-1.6688902751638146e-05,0.0004505861793404,638.173828125,0.51825,0.51825,0.816,0.77398,775.96875,0.5659965292608871,0.0846522492046232,775.96875,0.8862852851093705,0.0011192608432453,0.956075572088018,64.0,0.016
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,31,31.0,0.1503962576389312,3.888293448506275e-05,0.0003422982299525,616.67578125,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,32,32.0,0.1379765570163726,2.033710341819983e-05,0.0001713496330921,593.216796875,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,33,33.0,0.1437024772167205,-2.677304511777833e-05,0.000217464948264,612.115234375,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,34,34.0,0.162282183766365,-4.0158429782444216e-05,0.0002191810763179,614.40625,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,35,35.0,0.1427823007106781,-3.717418958792962e-05,0.0002491221976583,622.98046875,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,36,36.0,0.1421889960765838,-2.9086148473522755e-05,0.0002914938822868,616.091796875,0.53225,0.53225,0.806,0.767912,639.359375,0.1896744151977637,0.0326743077787824,639.359375,0.9369787094387312,0.0014952585942507,0.993441455568566,64.0,0.016
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,37,37.0,0.1399946957826614,3.5829823421984486e-05,0.0003116951966148,614.76953125,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,38,38.0,0.136912852525711,1.5649385493726742e-05,0.0003004877198691,612.8203125,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,39,39.0,0.1330229043960571,-2.776078928157233e-05,0.0001730678550302,601.796875,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,40,40.0,0.1305845379829406,-2.8067672128706533e-05,0.0001392982594552,598.470703125,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,41,41.0,0.1526668220758438,-1.468912095559105e-05,0.0003065870187128,614.287109375,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,42,42.0,0.1335647851228714,-3.300333422373569e-05,0.0002130752436642,605.333984375,0.5355,0.5355,0.814,0.774092,665.15625,0.5853347330718414,0.0852478271082922,665.15625,0.8888372018467744,0.0014179464959707,0.954026931716098,64.0,0.016
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,43,43.0,0.1405235677957534,2.656493796582282e-05,0.0003512863067953,608.326171875,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,44,44.0,0.1310116052627563,-2.8224208186600208e-05,0.0002030539233146,594.185546875,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,45,45.0,0.1415674984455108,1.1303947297980343e-05,0.0003536093090588,621.716796875,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,46,46.0,0.1289983689785003,3.009746535553859e-06,0.0002056860464563,594.216796875,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,47,47.0,0.1395985037088394,-3.465166793148455e-05,0.0003780826382353,623.873046875,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,48,48.0,0.1299913376569748,-6.525475212626475e-06,0.0002522514848806,612.462890625,0.5415,0.5415,0.814,0.772256,535.515625,0.2112473717222235,0.0386893472996236,535.515625,0.9288919148500642,0.0017971149043271,0.9932181394204884,64.0,0.016
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,49,49.0,0.1318661272525787,6.072159050693471e-05,0.0002382383891017,602.802734375,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,50,50.0,0.1281709372997284,1.8332051929803583e-06,0.0001622388972464,595.052734375,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,51,51.0,0.1270177066326141,2.2663232894681865e-05,0.000264716320089,608.662109375,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,52,52.0,0.165772795677185,-3.147293451921662e-05,0.0003123358519587,615.3359375,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,53,53.0,0.1396794021129608,2.79302009603688e-06,0.000281696953607,607.09765625,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,54,54.0,0.1272510886192321,-3.627253423843513e-06,0.0002375170388404,593.80859375,0.55575,0.55575,0.82,0.783312,545.546875,0.1826286546995864,0.033595875698124,545.546875,0.9358438460409992,0.0017628201506292,0.995077128753815,64.0,0.016
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,55,55.0,0.1235594823956489,5.931187148533468e-06,0.0002225653006462,598.310546875,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,56,56.0,0.1303942501544952,-2.33697203122496e-06,0.0002657338627614,600.8125,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,57,57.0,0.1332834959030151,-1.9304866411218317e-05,0.0002645480308274,606.021484375,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,58,58.0,0.1231805831193924,5.3472149783573286e-05,0.0001846943705459,584.24609375,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,59,59.0,0.1549150645732879,1.7815856285130494e-05,8.195887949113967e-05,589.912109375,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,60,60.0,0.1196914613246917,5.6611504266612656e-06,0.0001526378555354,595.224609375,0.54675,0.54675,0.82,0.778076,589.84375,0.2085801163730242,0.039205298013245,589.84375,0.9302369546448158,0.0016545954502576,0.9929283895934654,64.0,0.016
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,61,61.0,0.1200310066342353,1.541654891301647e-05,0.0002462777283653,600.140625,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,62,62.0,0.1224038749933242,-2.3623231562019956e-05,0.0001784107271305,599.451171875,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,63,63.0,0.125003308057785,-1.19542357972513e-05,0.0002332621033929,609.041015625,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,64,64.0,0.1185344755649566,1.139929003457496e-05,0.0002629525497468,601.42578125,,,,,,,,,,,,,
Base weak-regularization variant,base_d_weak_constraint_20260402_003007,rq4nirwa1qsaynipprodn,65,65.0,0.122491106390953,3.0783588031213505e-05,0.0002046729478024,590.751953125,,,,,,,,,,,,,
