step,training/global_step,training/global_step_timestamp,actor/entropy,actor/entropy_timestamp,actor/kl_loss,actor/kl_loss_timestamp,actor/ppo_kl,actor/ppo_kl_timestamp,actor/pg_loss,actor/pg_loss_timestamp,response_length/mean,response_length/mean_timestamp,val-core/math500/reward/mean@8,val-core/math500/reward/mean@8_timestamp,val-core/math500/reward/pass@1,val-core/math500/reward/pass@1_timestamp,val-core/math500/reward/pass@8,val-core/math500/reward/pass@8_timestamp,val-core/math500/reward/best@8/mean,val-core/math500/reward/best@8/mean_timestamp,val-aux/math500/response_length/mean@8,val-aux/math500/response_length/mean@8_timestamp,val-token/math500/summary/token_entropy_mean,val-token/math500/summary/token_entropy_mean_timestamp,val-token/math500/summary/low_confidence_token_ratio,val-token/math500/summary/low_confidence_token_ratio_timestamp,val-token/math500/summary/response_length_mean,val-token/math500/summary/response_length_mean_timestamp,val-token/math500/summary/top1_prob_mean,val-token/math500/summary/top1_prob_mean_timestamp,val-token/math500/summary/eos_prob_mean,val-token/math500/summary/eos_prob_mean_timestamp,val-token/math500/summary/topk_mass_mean,val-token/math500/summary/topk_mass_mean_timestamp,val-token/math500/summary/analyzed_samples,val-token/math500/summary/analyzed_samples_timestamp,val-token/math500/summary/analyzed_sample_fraction,val-token/math500/summary/analyzed_sample_fraction_timestamp
0,,,,,,,,,,,,,0.68375,1775147720000.0,0.68375,1775147720000.0,0.834,1775147720000.0,0.807192,1775147720000.0,473.25,1775147720000.0,0.1106249272225083,1775147720000.0,0.0169374009508716,1775147720000.0,473.25,1775147720000.0,0.963924547005002,1775147720000.0,0.0021022310017028,1775147720000.0,0.997427968077098,1775147720000.0,64.0,1775147720000.0,0.016,1775147720000.0
1,1.0,1775147899000.0,0.1181448027491569,1775147899000.0,7.600001449281635e-07,1775147899000.0,1.5210231581019862e-05,1775147899000.0,0.0001493730643327,1775147899000.0,580.923828125,1775147899000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0,1775148030000.0,0.1011547818779945,1775148030000.0,9.135361873635616e-07,1775148030000.0,-2.9893946847714403e-05,1775148030000.0,0.0002096706797374,1775148030000.0,571.724609375,1775148030000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3.0,1775148170000.0,0.149148941040039,1775148170000.0,1.8051676342611955e-06,1775148170000.0,-3.893428010570687e-05,1775148170000.0,0.0002350312111261,1775148170000.0,573.64453125,1775148170000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.0,1775148302000.0,0.1126933842897415,1775148302000.0,2.5093334727888106e-06,1775148302000.0,-1.6313412919188863e-05,1775148302000.0,0.0001787467024172,1775148302000.0,565.251953125,1775148302000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5.0,1775148432000.0,0.114652469754219,1775148432000.0,9.250154288764634e-06,1775148432000.0,0.0001194045091512,1775148432000.0,0.0003130456058286,1775148432000.0,560.689453125,1775148432000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.0,1775148839000.0,0.0897247418761253,1775148839000.0,9.15892325226153e-06,1775148839000.0,-1.931959280554452e-06,1775148839000.0,0.0002130844464147,1775148839000.0,548.087890625,1775148839000.0,0.685,1775148839000.0,0.685,1775148839000.0,0.832,1775148839000.0,0.8102699999999999,1775148839000.0,479.140625,1775148839000.0,0.1739700956172001,1775148839000.0,0.0246535137779227,1775148839000.0,479.140625,1775148839000.0,0.9575217982985234,1775148839000.0,0.0021119491478251,1775148839000.0,0.9910519271345526,1775148839000.0,64.0,1775148839000.0,0.016,1775148839000.0
7,7.0,1775148964000.0,0.0870411247014999,1775148964000.0,1.1652324445776683e-05,1775148964000.0,-1.6880345706571376e-05,1775148964000.0,0.0002049544328883,1775148964000.0,540.521484375,1775148964000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.0,1775149091000.0,0.082051582634449,1775149091000.0,1.2120698572815058e-05,1775149091000.0,-9.996352754448878e-06,1775149091000.0,0.0001702406393633,1775149091000.0,530.404296875,1775149091000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.0,1775149217000.0,0.0812058672308921,1775149217000.0,1.6269658156709e-05,1775149217000.0,5.223744016202847e-05,1775149217000.0,0.0001310649236074,1775149217000.0,530.0078125,1775149217000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10.0,1775149344000.0,0.0679361373186111,1775149344000.0,1.4635888131664387e-05,1775149344000.0,-2.9311057341274704e-06,1775149344000.0,6.554319315910107e-05,1775149344000.0,522.5703125,1775149344000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11.0,1775149469000.0,0.0683847740292549,1775149469000.0,1.4389325727393045e-05,1775149469000.0,4.053697622463659e-06,1775149469000.0,-1.2382921113385237e-05,1775149469000.0,516.767578125,1775149469000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.0,1775149865000.0,0.0716273188591003,1775149865000.0,1.5690062017625905e-05,1775149865000.0,3.4431849060823083e-06,1775149865000.0,4.7266590627259575e-05,1775149865000.0,519.84765625,1775149865000.0,0.6875,1775149865000.0,0.6875,1775149865000.0,0.84,1775149865000.0,0.81513,1775149865000.0,473.75,1775149865000.0,0.2227641235869918,1775149865000.0,0.0315303430079155,1775149865000.0,473.75,1775149865000.0,0.9487415293590374,1775149865000.0,0.0021742895874624,1775149865000.0,0.9867228923183632,1775149865000.0,64.0,1775149865000.0,0.016,1775149865000.0
13,13.0,1775149990000.0,0.0667397677898407,1775149990000.0,1.7856825358819606e-05,1775149990000.0,9.42739402637338e-06,1775149990000.0,3.377522352820961e-05,1775149990000.0,517.55859375,1775149990000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14.0,1775150115000.0,0.077659748494625,1775150115000.0,1.6637638369232377e-05,1775150115000.0,1.048649676660407e-05,1775150115000.0,6.546084364345006e-06,1775150115000.0,513.142578125,1775150115000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15.0,1775150240000.0,0.0665198266506195,1775150240000.0,1.7545360135429178e-05,1775150240000.0,5.7081838953365605e-06,1775150240000.0,1.8600891053210944e-05,1775150240000.0,516.1015625,1775150240000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16.0,1775150368000.0,0.0683555379509925,1775150368000.0,1.7094885926383085e-05,1775150368000.0,-2.9158726226441445e-05,1775150368000.0,3.815116815530928e-05,1775150368000.0,518.7265625,1775150368000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.0,1775150493000.0,0.0676056817173957,1775150493000.0,1.82369264365434e-05,1775150493000.0,-1.3015956462025802e-05,1775150493000.0,1.0080890206154436e-05,1775150493000.0,518.65625,1775150493000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18.0,1775150895000.0,0.0661926642060279,1775150895000.0,2.042364899068616e-05,1775150895000.0,-3.358139796993953e-05,1775150895000.0,2.7304170544084627e-05,1775150895000.0,518.8671875,1775150895000.0,0.68625,1775150895000.0,0.68625,1775150895000.0,0.848,1775150895000.0,0.81953,1775150895000.0,485.953125,1775150895000.0,0.2315895039722247,1775150895000.0,0.0299025754798881,1775150895000.0,485.953125,1775150895000.0,0.9508596902138772,1775150895000.0,0.00214574446322,1775150895000.0,0.986297794838917,1775150895000.0,64.0,1775150895000.0,0.016,1775150895000.0
19,19.0,1775151019000.0,0.0625059008598327,1775151019000.0,1.9837180216697448e-05,1775151019000.0,-1.3848452576237236e-05,1775151019000.0,3.94025664718356e-06,1775151019000.0,515.90234375,1775151019000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20.0,1775151148000.0,0.1002412959933281,1775151148000.0,1.932161375606256e-05,1775151148000.0,2.0928194436553586e-05,1775151148000.0,5.213781605561962e-05,1775151148000.0,519.330078125,1775151148000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21.0,1775151274000.0,0.0640065670013427,1775151274000.0,2.027585142982957e-05,1775151274000.0,-2.5918281765680007e-05,1775151274000.0,3.8356040022335947e-05,1775151274000.0,516.888671875,1775151274000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22.0,1775151400000.0,0.0615952536463737,1775151400000.0,2.1199058675591687e-05,1775151400000.0,-2.1403928995300525e-06,1775151400000.0,4.196158442937303e-06,1775151400000.0,515.767578125,1775151400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23.0,1775151525000.0,0.0592111460864543,1775151525000.0,2.09511800051132e-05,1775151525000.0,-1.5731645008010275e-05,1775151525000.0,4.76924378745025e-06,1775151525000.0,515.77734375,1775151525000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
