step,training/global_step,training/global_step_timestamp,actor/entropy,actor/entropy_timestamp,actor/kl_loss,actor/kl_loss_timestamp,actor/ppo_kl,actor/ppo_kl_timestamp,actor/pg_loss,actor/pg_loss_timestamp,response_length/mean,response_length/mean_timestamp,val-core/math500/reward/mean@8,val-core/math500/reward/mean@8_timestamp,val-core/math500/reward/pass@1,val-core/math500/reward/pass@1_timestamp,val-core/math500/reward/pass@8,val-core/math500/reward/pass@8_timestamp,val-core/math500/reward/best@8/mean,val-core/math500/reward/best@8/mean_timestamp,val-aux/math500/response_length/mean@8,val-aux/math500/response_length/mean@8_timestamp,val-token/math500/summary/token_entropy_mean,val-token/math500/summary/token_entropy_mean_timestamp,val-token/math500/summary/low_confidence_token_ratio,val-token/math500/summary/low_confidence_token_ratio_timestamp,val-token/math500/summary/response_length_mean,val-token/math500/summary/response_length_mean_timestamp,val-token/math500/summary/top1_prob_mean,val-token/math500/summary/top1_prob_mean_timestamp,val-token/math500/summary/eos_prob_mean,val-token/math500/summary/eos_prob_mean_timestamp,val-token/math500/summary/topk_mass_mean,val-token/math500/summary/topk_mass_mean_timestamp,val-token/math500/summary/analyzed_samples,val-token/math500/summary/analyzed_samples_timestamp,val-token/math500/summary/analyzed_sample_fraction,val-token/math500/summary/analyzed_sample_fraction_timestamp
0,,,,,,,,,,,,,0.68375,1775274364000.0,0.68375,1775274364000.0,0.834,1775274364000.0,0.807192,1775274364000.0,473.25,1775274364000.0,0.1106249272225083,1775274364000.0,0.0169374009508716,1775274364000.0,473.25,1775274364000.0,0.963924547005002,1775274364000.0,0.0021022310017028,1775274364000.0,0.997427968077098,1775274364000.0,64.0,1775274364000.0,0.016,1775274364000.0
1,1.0,1775274523000.0,0.1181448027491569,1775274523000.0,7.728676651996835e-07,1775274523000.0,2.237536362592607e-05,1775274523000.0,0.0001492800595892,1775274523000.0,580.923828125,1775274523000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0,1775274653000.0,0.0982692837715148,1775274653000.0,8.630420561539509e-07,1775274653000.0,1.265307516984393e-06,1775274653000.0,0.000153380095228,1775274653000.0,564.1953125,1775274653000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3.0,1775274782000.0,0.1066767498850822,1775274782000.0,1.6875031870755564e-06,1775274782000.0,-1.020137140450572e-05,1775274782000.0,0.0001297042936698,1775274782000.0,568.296875,1775274782000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.0,1775274917000.0,0.1179610639810562,1775274917000.0,3.023473340135752e-06,1775274917000.0,-3.878476780627693e-06,1775274917000.0,0.0002216667261834,1775274917000.0,571.54296875,1775274917000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5.0,1775275047000.0,0.1214019209146499,1775275047000.0,8.23786534276394e-06,1775275047000.0,3.998728612142344e-05,1775275047000.0,0.0002577093905955,1775275047000.0,562.1875,1775275047000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.0,1775275454000.0,0.0987802520394325,1775275454000.0,9.883061365734136e-06,1775275454000.0,-6.626457790120943e-06,1775275454000.0,0.0002426488121045,1775275454000.0,550.72265625,1775275454000.0,0.68075,1775275454000.0,0.68075,1775275454000.0,0.848,1775275454000.0,0.82326,1775275454000.0,504.671875,1775275454000.0,0.6881286912578713,1775275454000.0,0.0805288089414533,1775275454000.0,504.671875,1775275454000.0,0.904896088482673,1775275454000.0,0.0019898110908213,1775275454000.0,0.9416938667648136,1775275454000.0,64.0,1775275454000.0,0.016,1775275454000.0
7,7.0,1775275588000.0,0.1421334743499756,1775275588000.0,1.026083499722219e-05,1775275588000.0,-6.816871298331861e-06,1775275588000.0,0.0002479306842815,1775275588000.0,548.6953125,1775275588000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.0,1775275716000.0,0.0888377428054809,1775275716000.0,1.116137127432637e-05,1775275716000.0,1.0603790273067126e-06,1775275716000.0,0.0002559266180242,1775275716000.0,541.59375,1775275716000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.0,1775275843000.0,0.0884327739477157,1775275843000.0,1.621357924186384e-05,1775275843000.0,-3.036860341865122e-06,1775275843000.0,0.0001367119698443,1775275843000.0,535.376953125,1775275843000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10.0,1775275968000.0,0.0850780978798866,1775275968000.0,1.6128568081974493e-05,1775275968000.0,5.5387796301431536e-05,1775275968000.0,8.594276187068317e-05,1775275968000.0,525.97265625,1775275968000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11.0,1775276094000.0,0.0652403309941291,1775276094000.0,1.3626435352520616e-05,1775276094000.0,1.0767244122966702e-06,1775276094000.0,1.0097129234054592e-05,1775276094000.0,522.703125,1775276094000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.0,1775276505000.0,0.0948140025138855,1775276505000.0,1.6181682031657374e-05,1775276505000.0,7.922257190928761e-06,1775276505000.0,3.321760959806852e-05,1775276505000.0,523.921875,1775276505000.0,0.6805,1775276505000.0,0.6805,1775276505000.0,0.834,1775276505000.0,0.8108420000000001,1775276505000.0,470.3125,1775276505000.0,0.1338511478386052,1775276505000.0,0.0203986710963455,1775276505000.0,470.3125,1775276505000.0,0.9627058831401838,1775276505000.0,0.0020797824577437,1775276505000.0,0.9947304202868692,1775276505000.0,64.0,1775276505000.0,0.016,1775276505000.0
13,13.0,1775276632000.0,0.0672059953212738,1775276632000.0,1.64498950034897e-05,1775276632000.0,7.029868591412747e-07,1775276632000.0,1.1938510397158096e-05,1775276632000.0,523.17578125,1775276632000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14.0,1775276760000.0,0.0696365758776664,1775276760000.0,1.5109351386044524e-05,1775276760000.0,1.3840053749242244e-05,1775276760000.0,3.083340197918005e-05,1775276760000.0,523.126953125,1775276760000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15.0,1775276888000.0,0.0672146156430244,1775276888000.0,1.800354713665797e-05,1775276888000.0,-2.480259858161915e-05,1775276888000.0,2.6266457098245155e-05,1775276888000.0,525.953125,1775276888000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16.0,1775277017000.0,0.0663921386003494,1775277017000.0,1.9746238397289065e-05,1775277017000.0,-2.5006404052341225e-05,1775277017000.0,1.9414982489252e-05,1775277017000.0,521.63671875,1775277017000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.0,1775277145000.0,0.0648279041051864,1775277145000.0,1.7214586852887237e-05,1775277145000.0,3.2595375592414655e-05,1775277145000.0,1.2036301086482126e-05,1775277145000.0,523.69921875,1775277145000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18.0,1775277552000.0,0.0688536614179611,1775277552000.0,1.936806886426723e-05,1775277552000.0,-2.940433413446686e-05,1775277552000.0,1.248891385330353e-05,1775277552000.0,522.642578125,1775277552000.0,0.688,1775277552000.0,0.688,1775277552000.0,0.852,1775277552000.0,0.82694,1775277552000.0,493.484375,1775277552000.0,0.2325024189453975,1775277552000.0,0.0301744609441788,1775277552000.0,493.484375,1775277552000.0,0.9527671535438678,1775277552000.0,0.0020738849426106,1775277552000.0,0.9849721059885856,1775277552000.0,64.0,1775277552000.0,0.016,1775277552000.0
19,19.0,1775277683000.0,0.0632660314440727,1775277683000.0,1.840816351084129e-05,1775277683000.0,-5.45946025709565e-06,1775277683000.0,2.6809748305822723e-05,1775277683000.0,522.478515625,1775277683000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20.0,1775277811000.0,0.0652846544981002,1775277811000.0,1.9650781847957436e-05,1775277811000.0,1.400412183349964e-05,1775277811000.0,4.897401595371775e-06,1775277811000.0,520.802734375,1775277811000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21.0,1775277937000.0,0.0605346672236919,1775277937000.0,2.055321395033616e-05,1775277937000.0,-1.734241919493229e-05,1775277937000.0,-8.657225407660007e-07,1775277937000.0,519.26171875,1775277937000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22.0,1775278063000.0,0.0608586333692073,1775278063000.0,2.000558663439733e-05,1775278063000.0,-1.4848817702445284e-05,1775278063000.0,1.0896127605519725e-05,1775278063000.0,522.490234375,1775278063000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23.0,1775278191000.0,0.0609052069485187,1775278191000.0,2.215078121992065e-05,1775278191000.0,-9.936357686979314e-06,1775278191000.0,1.0003901479649356e-05,1775278191000.0,521.81640625,1775278191000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24.0,1775278596000.0,0.0624712444841861,1775278596000.0,2.116557173792444e-05,1775278596000.0,-4.531337486501919e-05,1775278596000.0,7.248406291182619e-06,1775278596000.0,521.634765625,1775278596000.0,0.68225,1775278596000.0,0.68225,1775278596000.0,0.842,1775278596000.0,0.819028,1775278596000.0,487.578125,1775278596000.0,0.3974890370453766,1775278596000.0,0.0487421887518026,1775278596000.0,487.578125,1775278596000.0,0.9339444473870498,1775278596000.0,0.002051463182147,1775278596000.0,0.9691833227151786,1775278596000.0,64.0,1775278596000.0,0.016,1775278596000.0
