formal_label,run_name,run_id,step,training_global_step,actor_entropy,actor_kl_loss,actor_ppo_kl,actor_pg_loss,train_response_length_mean,val_reward_mean,val_reward_pass1,val_reward_pass8,val_reward_best8_mean,val_aux_response_length_mean,val_token_entropy_mean,val_low_confidence_ratio,val_token_response_length_mean,val_top1_prob_mean,val_eos_prob_mean,val_topk_mass_mean,val_analyzed_samples,val_analyzed_sample_fraction
Instruct baseline (n=8),instruct_c_n8_baseline_rerun180_20260404_113902,z0ub6abmgswdgbah08442,0,,,,,,,0.68375,0.68375,0.834,0.807192,473.25,0.1106249272225083,0.0169374009508716,473.25,0.963924547005002,0.0021022310017028,0.997427968077098,64.0,0.016
Instruct baseline (n=8),instruct_c_n8_baseline_rerun180_20260404_113902,z0ub6abmgswdgbah08442,1,1.0,0.1181448027491569,7.728676651996835e-07,2.237536362592607e-05,0.0001492800595892,580.923828125,,,,,,,,,,,,,
Instruct baseline (n=8),instruct_c_n8_baseline_rerun180_20260404_113902,z0ub6abmgswdgbah08442,2,2.0,0.0982692837715148,8.630420561539509e-07,1.265307516984393e-06,0.000153380095228,564.1953125,,,,,,,,,,,,,
Instruct baseline (n=8),instruct_c_n8_baseline_rerun180_20260404_113902,z0ub6abmgswdgbah08442,3,3.0,0.1066767498850822,1.6875031870755564e-06,-1.020137140450572e-05,0.0001297042936698,568.296875,,,,,,,,,,,,,
Instruct baseline (n=8),instruct_c_n8_baseline_rerun180_20260404_113902,z0ub6abmgswdgbah08442,4,4.0,0.1179610639810562,3.023473340135752e-06,-3.878476780627693e-06,0.0002216667261834,571.54296875,,,,,,,,,,,,,
Instruct baseline (n=8),instruct_c_n8_baseline_rerun180_20260404_113902,z0ub6abmgswdgbah08442,5,5.0,0.1214019209146499,8.23786534276394e-06,3.998728612142344e-05,0.0002577093905955,562.1875,,,,,,,,,,,,,
Instruct baseline (n=8),instruct_c_n8_baseline_rerun180_20260404_113902,z0ub6abmgswdgbah08442,6,6.0,0.0987802520394325,9.883061365734136e-06,-6.626457790120943e-06,0.0002426488121045,550.72265625,0.68075,0.68075,0.848,0.82326,504.671875,0.6881286912578713,0.0805288089414533,504.671875,0.904896088482673,0.0019898110908213,0.9416938667648136,64.0,0.016
Instruct baseline (n=8),instruct_c_n8_baseline_rerun180_20260404_113902,z0ub6abmgswdgbah08442,7,7.0,0.1421334743499756,1.026083499722219e-05,-6.816871298331861e-06,0.0002479306842815,548.6953125,,,,,,,,,,,,,
Instruct baseline (n=8),instruct_c_n8_baseline_rerun180_20260404_113902,z0ub6abmgswdgbah08442,8,8.0,0.0888377428054809,1.116137127432637e-05,1.0603790273067126e-06,0.0002559266180242,541.59375,,,,,,,,,,,,,
Instruct baseline (n=8),instruct_c_n8_baseline_rerun180_20260404_113902,z0ub6abmgswdgbah08442,9,9.0,0.0884327739477157,1.621357924186384e-05,-3.036860341865122e-06,0.0001367119698443,535.376953125,,,,,,,,,,,,,
